,subjects,abstract,status_changed,eprint_status,related_url,rev_number,volume,metadata_visibility,title,official_url,date_type,eprintid,datestamp,pagerange,lastmod,userid,uri,full_text_status,refereed,ispublished,number,documents,publisher,divisions,type,date,dir,id_number,publication,creators,issn,contact_email,isbn,pages,book_title,pres_type,event_title,event_location,event_dates,event_type,place_of_pub,corp_creators,output_media,contributors
22,"['GN', 'H1', 'HM']",Tulisan ini mengulas tentang merawat hidup harmoni dalam keberagaman serta menguatnya isu identitas dalam masyarakat Indonesia dewasa ini. Tulisan ini dibuat pada momen Tahun Baru Imlek yang tengah dirayakan oleh sebagian masyarakat Indonesia khususnya keturunan Tionghoa. Bicara soal keturunan Tionghoa tidak terlepas kita bicara soal keberagaman di Indonesia.,2018-06-04 06:32:17,archive,"[{'type': 'pub', 'url': 'http://www.lampost.co/epaper--lampung-post--kamis-15-februari-2018'}]",8,,show,MERAWAT HIDUP HARMONI DALAM  KEBERAGAMAN,http://www.lampost.co/epaper--lampung-post--kamis-15-februari-2018,published,6981,2018-06-04 06:32:17,1-4,2018-06-04 06:32:17,314,http://repository.lppm.unila.ac.id/id/eprint/6981,public,TRUE,pub,,"[{'docid': 19953, 'main': 'Merawat Hidup Harmoni.doc', 'files': [{'datasetid': 'document', 'filesize': 53248, 'mime_type': 'application/msword', 'fileid': 63927, 'hash': '927438e1d135b00354a78e1be7cb70b2', 'filename': 'Merawat Hidup Harmoni.doc', 'hash_type': 'MD5', 'mtime': '2018-06-03 07:58:38', 'objectid': 19953, 'uri': 'http://repository.lppm.unila.ac.id/id/file/63927'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19953', 'eprintid': 6981, 'security': 'public', 'placement': 1, 'mime_type': 'application/msword', 'language': 'en'}]",Lampung Post,['FISIP7'],article,2018-02-15,disk0/00/00/69/81,,MERAWAT HIDUP HARMONI DALAM  KEBERAGAMAN,"[{'id': 'bartovenvivit@gmail.com', 'name': {'lineage': None, 'family': 'Nurdin', 'honourific': None, 'given': 'Bartoven Vivit'}}]",,bartovenvivit@gmail.com,,,,,,,,,,['Lampung Post'],,
23,"['GN', 'HM']","Kepaksian Marga Buay Belunguh secara administratif tepatnya berada di Kecamatan Kota Agung Timur. Secara batasan budaya atau batas budaya, Kepaksian Marga Buay Belunguh di Tanggamus memiliki tiga kampung, yakni Kagungan, Karta, dan Umbul Buah. Ketiga ini adalah kampung tua yang memberikan kita pemahaman tentang Kepaksian Marga Buay Belunguh.",2018-10-25 02:26:10,archive,,9,,show,Marga Buay Belunguh Tanggamus,,published,8962,2018-10-25 02:26:10,,2018-10-25 02:26:10,314,http://repository.lppm.unila.ac.id/id/eprint/8962,restricted,TRUE,pub,,"[{'content': 'published', 'mime_type': 'application/pdf', 'language': 'id', 'security': 'staffonly', 'placement': 1, 'eprintid': 8962, 'date_embargo': '2040-12-31', 'formatdesc': 'Book', 'uri': 'http://repository.lppm.unila.ac.id/id/document/22041', 'rev_number': 3, 'format': 'text', 'pos': 1, 'files': [{'filesize': 693767, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2018-10-25 00:47:02', 'filename': 'marga belunguh cover dalam.pdf', 'hash': '2e297a9227b38afdc443bf3a1396fedc', 'fileid': 86663, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/86663', 'objectid': 22041}], 'docid': 22041, 'main': 'marga belunguh cover dalam.pdf'}]",AURA,['FISIP7'],book,2018-08-31,disk0/00/00/89/62,,,"[{'name': {'given': 'Bartoven Vivit', 'lineage': None, 'honourific': None, 'family': 'Nurdin'}, 'id': 'bartovenvivit@gmail.com'}]",,redaksiaura@gmail.com,978-602-5940-16-3,127.0,,,,,,,Bandar Lampung,,,
24,"['GN', 'H1', 'HM', 'HN', 'HX']","Tulisan ini mengetengahkan tentang radikalisme, sebuah  ideologi lama yang muncul dalam wajah-wajah yang baru.  Radikalisme semakin hari wajahnya semakin didandani dengan make-up yang berbeda sehingga terhegemoni di jaringan-jaringan sosial yang samar dalam masyarakat, akibatnya tanpa disadari menjadi ancaman yang lebih serius dan lebih berbahaya. Seperti yang kita pahami bahwa radikalisme adalah sebuah paham yang menginginkan perubahan atau pembaharuan tetapi dengan cara-cara yang frontal dan menggunakan kekerasan (violence). Sikap radikal  ini disebut juga sebagai suatu sikap yang ekstrim, karena caranya yang memaksakan kehendak kelompoknya sehingga merugikan orang lain.  Dengan cara-cara kekerasan tersebut tentu saja sikap radikal merupakan sikap yang  berlawanan dengan sikap toleransi, harmoni,  menghargai keyakinan orang lain, dan paham multikulturalisme.",2018-06-04 06:29:11,archive,"[{'type': 'org', 'url': 'https://lampungpost.id/headline/radikalisme-dan-nemui-nyimah/'}]",14,,show,RADIKALISME DAN NEMUI NYIMAH,https://lampungpost.id/headline/radikalisme-dan-nemui-nyimah/,published,6979,2018-06-04 06:29:11,1-3,2018-06-04 06:29:11,314,http://repository.lppm.unila.ac.id/id/eprint/6979,restricted,TRUE,pub,,"[{'language': 'id', 'mime_type': 'application/msword', 'content': 'published', 'date_embargo': '2030-03-25', 'eprintid': 6979, 'placement': 1, 'security': 'staffonly', 'license': 'cc_by', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19951', 'rev_number': 13, 'docid': 19951, 'main': 'RADIKALISME DAN NEMUI NYIMAH.doc', 'files': [{'filesize': 47616, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2018-06-03 07:31:23', 'hash': 'faa50d867f973c441ae0adab20590008', 'filename': 'RADIKALISME DAN NEMUI NYIMAH.doc', 'fileid': 63913, 'mime_type': 'application/msword', 'uri': 'http://repository.lppm.unila.ac.id/id/file/63913', 'objectid': 19951}]}]",Lampung Post,['FISIP7'],article,2018-03-25,disk0/00/00/69/79,,RADIKALISME DAN NEMUI NYIMAH,"[{'id': 'bartovenvivit@gmail.com', 'name': {'given': 'Bartoven Vivit', 'lineage': None, 'honourific': None, 'family': 'Nurdin'}}]",,bartovenvivit@gmail.com,,,,,,,,,,['Lampung Post'],,
25,"['GN', 'HM']","Tulisan ini mengkaji tentang ngebuyu atau ngabuyu, sebuah ritual adat pada masyarakat Adat Marga Legun, Way Urang, Lampung untuk menyambut kelahiran seorang bayi. Kelahiran bayi adalah berita yang menggembirakan bagi setiap masyarakat dimanapun idealnya. Oleh karena itu hampir setiap suku bangsa di dunia memiliki ritual-ritual khusus dalam menyambut kelahiran bayi. Pada masyarakat Adat Marga Legun Way Urang, selain diadakan upacara keagamaan seperti Aqiqah, dilakukan juga ritual keadatan yaitu Ngebuyu. Ngebuyu tidak hanya sebuah proses menyambut kelahiran melainkan memiliki nilai-nilai, makna-simbol, identitas, dan status sosial yang penting dalam masyarakat adat. Penelitian ini menganalisis nilai-nilai tersebut. Metode yang digunakan dalam penelitian ini adalah kualitatif dengan pendekatan etnografi. Teknik pengumpulan data dilakukan dengan wawancara mendalam dan pengamatan. Hasil penelitian menunjukkan bahwa nilai-nilai status sosial dan identitas sangat melekat pada ritual Ngebuyu. Sebagaimana masyarakat adat saibatin terikat pada kedudukan dan hierarki dalam adat. Perubahan sosial budaya banyak terjadi dalam ritual Ngebuyu, tetapi tidak merubah inti kebudayaan. Merujuk pada Van Gennep dalam rite de passage.",2019-05-21 02:23:13,archive,,10,20.0,show,"RITUAL NGEBUYU:
MEMBUMIKAN PEWARIS DAN PERUBAHAN RITUAL KELAHIRAN PADA MARGA LEGUN, WAY URANG, LAMPUNG",http://jurnal.fisip.unila.ac.id,published,12245,2019-05-21 02:23:13,69-80,2019-05-21 02:23:13,314,http://repository.lppm.unila.ac.id/id/eprint/12245,restricted,TRUE,pub,2,"[{'main': '2. Vivit.pdf', 'docid': 25221, 'files': [{'mime_type': 'application/pdf', 'fileid': 109348, 'filename': '2. Vivit.pdf', 'hash': 'f61a05abebf7328498529345a91cf016', 'mtime': '2019-05-09 05:29:14', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 375751, 'objectid': 25221, 'uri': 'http://repository.lppm.unila.ac.id/id/file/109348'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/25221', 'rev_number': 4, 'eprintid': 12245, 'date_embargo': '2030-09-31', 'security': 'validuser', 'placement': 1, 'language': 'id', 'mime_type': 'application/pdf'}, {'main': 519, 'docid': 25223, 'files': [{'mtime': '2019-05-09 05:30:33', 'hash_type': 'MD5', 'filename': 519, 'hash': '367a234ab7aa02a08bab83aea3af4497', 'fileid': 109355, 'mime_type': 'text/html', 'filesize': 10932, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/109355', 'objectid': 25223}], 'pos': 2, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/25223', 'rev_number': 5, 'date_embargo': '2030-09-31', 'eprintid': 12245, 'placement': 2, 'security': 'validuser', 'language': 'id', 'mime_type': 'text/html'}]",jurusan sosiologi FISIP UNILA,['FISIP7'],article,2018-09-31,disk0/00/01/22/45,,sosiologi,"[{'name': {'given': 'Bartoven Vivit', 'family': 'Nurdin', 'honourific': None, 'lineage': None}, 'id': 'bartovenvivit@gmail.com'}]",14110040,bartovenvivit@gmail.com,,,,,,,,,,,,
26,"['GN', 'HM']","This paper examines digital on tourism and cultural revitalization through  museum  of adat Lampung. A few decades later is the development of museums in Indonesia is very slow, this is because the museum is only considered as a place to store your ancient and old, so it's not interesting for the younger generation to see it and make it as one of the tourist destinations.   Although there have been several innovations of museums in Indonesia are made such that appeals to visitors but has yet to be felt the most, especially the museum of customs and culture. This study aims to establish the concept of a museum of the customs and culture of the Lampung based digital, so attractive and tailored to the tastes of today's generation, so the customs and culture of the Lampung  can be enjoyed and is known in ways that the present, so it's not boring and preferred by the younger generation. This study uses qualitative methods with data collection techniques depth interviews  and observations. The results showed that the concept of ethno-eco tourism-based digital need to be developed and effectively in a market the museum and become a draw for visitors.  Cultural revitalization must be packaged together with the changes of society itself, besides the always taking care of local wisdom is very important to do. However, the interest of the younger generation is very minimal for learning and interested in the culture of its own. But many local cultural attributes can be used as potential in developing tourism and creative economy.",2018-10-25 02:25:56,archive,,9,,show,Digital Tourism in Museum Adat Keratuan Semaka Lampung,http://iicis.fisip.unila.ac.id/,published,8963,2018-10-25 02:25:56,1-10,2018-10-25 02:25:56,314,http://repository.lppm.unila.ac.id/id/eprint/8963,restricted,TRUE,pub,,"[{'rev_number': 4, 'uri': 'http://repository.lppm.unila.ac.id/id/document/22042', 'pos': 1, 'format': 'text', 'files': [{'fileid': 86672, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2018-10-25 01:10:19', 'filename': 'artikel IICIS unila 2018 .pdf', 'hash': '75415c2e0c9c9506532f8c0a43f7957f', 'datasetid': 'document', 'filesize': 986673, 'objectid': 22042, 'uri': 'http://repository.lppm.unila.ac.id/id/file/86672'}], 'docid': 22042, 'main': 'artikel IICIS unila 2018 .pdf', 'content': 'published', 'language': 'id', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'validuser', 'license': 'cc_by_nd', 'date_embargo': '2040-12-31', 'eprintid': 8963}]",,['FISIP7'],conference_item,2018-09-10,disk0/00/00/89/63,,,"[{'id': 'bartovenvivit@gmail.com', 'name': {'given': 'Bartoven Vivit', 'lineage': None, 'honourific': None, 'family': 'Nurdin'}}, {'id': 'dame.suzuka@gmail.com', 'name': {'given': '-', 'lineage': None, 'family': 'Damayanti', 'honourific': None}}]",,iicis@fisip.unila.ac.id,,,,paper,International Indonesia Conference on Interdisciplinary Studies  (IICIS),Novotel Bandar Lampung,9-10 September 2018,conference,,,,
27,"['GN', 'HM']","This paper examines digital on tourism and cultural revitalization through museum of adat Lampung. A few decades later is the development of museums in Indonesia is very slow, this is because the museum is only considered as a place to store your ancient and old, so it's not interesting for the younger generation to see it and make it as one of the tourist destinations. Although there have been several innovations of museums in Indonesia are made such that appeals to visitors but has yet to be felt the most, especially the museum of customs and culture. This study aims to establish the concept of a museum of the customs and culture of the Lampung based digital, so attractive and tailored to the tastes of today's generation, so the customs and culture of the Lampung can be enjoyed and is known in ways that the present, so it's not boring and preferred by the younger generation. This study uses qualitative methods with data collection techniques depth interviews and observations. The results showed that the concept of ethno-eco tourism-based digital need to be developed and effectively in a market the museum and become a draw for visitors. Cultural revitalization must be packaged together with the changes of society itself, besides the always taking care of local wisdom is very important to do. However, the interest of the younger generation is very minimal for learning and interested in the culture of its own. But many local cultural attributes can be used as potential in developing tourism and creative economy.",2019-05-09 03:09:40,archive,,8,,show,Digital Tourism in Museum Adat Keratuan Semaka Lampung,http://iicis.fisip.unila.ac.id/,published,11968,2019-05-09 03:09:40,37-44,2019-05-09 03:09:40,314,http://repository.lppm.unila.ac.id/id/eprint/11968,public,TRUE,pub,,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24961', 'pos': 1, 'format': 'text', 'files': [{'filesize': 4448530, 'datasetid': 'document', 'filename': 'FINAL TEXT STATE AND DIGITAL SOCIETY.pdf', 'hash': 'a549166458f3c88cc0b4ba5a5a94de14', 'mtime': '2019-05-07 22:13:38', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 107317, 'uri': 'http://repository.lppm.unila.ac.id/id/file/107317', 'objectid': 24961}], 'docid': 24961, 'main': 'FINAL TEXT STATE AND DIGITAL SOCIETY.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 11968}]",,['FISIP7'],conference_item,2018-09-09,disk0/00/01/19/68,,,"[{'id': 'bartovenvivit@gmail.com', 'name': {'honourific': None, 'family': 'Nurdin', 'lineage': None, 'given': 'Bartoven Vivit'}}, {'name': {'honourific': None, 'family': 'Damayanti', 'lineage': None, 'given': '-'}, 'id': 'dame.suzuka@gmail.com'}]",,,,,,paper,International Indonesia Conference on Interdisciplinary Studies (IICIS) FISIP UNILA,"Novotel, Bandar Lampung",9-10 September 2018,conference,,,,
28,"['GN', 'H1', 'HM']","This paper examines the marginalization of indigenous lands belonging to Lampung ethnic group and changes in power relations between Java and Lampung ethnic groups. Lampung has been the destination area of colonization since 1905 and was followed by transmigration of Javanese. The turnout of population from Java in Lampung was a part of the program of development distribution and poverty alleviation in Indonesia. The impact of the arrival of Javanese to Lampung is the marginalization of indigenous lands in Lampung. The lands in Lampung have been largely controlled by the new comers and the plantation companies growing in Lampung. The relationship between Javanese and Lampung ethnic groups has also given an effect to this marginalization. The research used qualitative method with ethnographic approach. The data were collected through in-depth interviews and participative observation. The results of this investigation indicate that the marginalization of land belonging to Lampung ethnic group occurs in such a way that not realized by the Lampungnese or may due to the change of the views of Lampungnese on the meaning of ""power”. A power over a land has no longer described the real power, but the power in the political system and the local bureaucracy does. Lampung ethnic group also experienced extinction in the culture, except the identity of the ""self-esteem"" which has been actualized in form of power in local politics.",2018-06-04 06:32:19,archive,"[{'url': 'https://ijmmu.com/index.php/ijmmu/article/view/154', 'type': 'pub'}]",14,5.0,show,"Land of Hope and Land of the Lost :
Study of Power Relations and Local Wisdom Ethnic Lampung ,
Sumatra , Indonesia",https://ijmmu.com/index.php/ijmmu/article/view/154,published,6982,2018-06-04 06:32:19,27-39,2018-06-04 06:32:19,314,http://repository.lppm.unila.ac.id/id/eprint/6982,public,TRUE,pub,1,"[{'placement': 3, 'security': 'public', 'eprintid': 6982, 'mime_type': 'application/msword', 'language': 'en', 'files': [{'objectid': 19956, 'uri': 'http://repository.lppm.unila.ac.id/id/file/63940', 'datasetid': 'document', 'filesize': 125952, 'mime_type': 'application/msword', 'fileid': 63940, 'hash': 'd95b91533c202c241f899b51ba29e911', 'filename': 'artikel jurnal internasional 2018.doc', 'hash_type': 'MD5', 'mtime': '2018-06-03 08:37:58'}], 'main': 'artikel jurnal internasional 2018.doc', 'docid': 19956, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19956', 'rev_number': 1, 'pos': 3, 'format': 'text'}]",IJMMU,['FISIP7'],article,2018-02-01,disk0/00/00/69/82,,"Study of Power Relations and Local Wisdom Ethnic Lampung , Sumatra , Indonesia","[{'id': 'bartovenvivit@gmail.com', 'name': {'lineage': None, 'family': 'Nurdin', 'honourific': None, 'given': 'Bartoven Vivit'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Damayanti', 'given': '-'}, 'id': 'dame.suzuka@gmail.com'}]",2364-5369,bartovenvivit@gmail.com,,,,,,,,,,['IJMMU'],,
29,"['GN', 'H1', 'HM']","This article aims to analyze the married rite, marginalized and local wisdom in the Paksi Benawang of Tanggamus. People of Benawang are a group of indigenous people who are included in the existing Kepaksian Tanggamus people. So far, the paksi Benawang has been marginalized in terms of culture and power.  The research used ethnography method, by conducting in-depth interviews and observations. The results show that since regional autonomy, they have begun to do reconstruction, reproduction and even the revitalization of their traditional life, as a response to their marginalization over the years. This is seen in the aspects of the marriage system. The system of marriage has reflected the power delegation. Kepaksian is an institution that is flexible and relative. Adat (custom tradition) is a discussion, dialogue and agreement. This shows that a growing local wisdom is to build harmony in society",2018-06-21 02:01:44,archive,,10,,show,"Paksi Benawang  at Tanggamus :
Married Rite, Marginalized and Local Wisdom",,published,7249,2018-06-21 02:01:44,16-24,2018-06-21 02:01:44,314,http://repository.lppm.unila.ac.id/id/eprint/7249,public,TRUE,pub,,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/20280', 'docid': 20280, 'main': 'DR VIVIT jurnal benawang Shield 2017.doc', 'files': [{'fileid': 65742, 'mime_type': 'application/msword', 'mtime': '2018-06-17 04:06:01', 'hash_type': 'MD5', 'hash': 'df0b3279690145f0b7419017ac48f57f', 'filename': 'DR VIVIT jurnal benawang Shield 2017.doc', 'datasetid': 'document', 'filesize': 103424, 'objectid': 20280, 'uri': 'http://repository.lppm.unila.ac.id/id/file/65742'}], 'mime_type': 'application/msword', 'language': 'en', 'eprintid': 7249, 'placement': 1, 'security': 'public'}]",,['FISIP7'],conference_item,2018-02-20,disk0/00/00/72/49,,,"[{'id': 'bartovenvivit@gmail.com', 'name': {'given': 'Bartoven Vivit', 'honourific': None, 'family': 'Nurdin', 'lineage': None}}, {'id': 'dame.suzuka@gmail.com', 'name': {'given': '-', 'honourific': None, 'family': 'Damayanti', 'lineage': None}}]",,bartovenvivit@gmail.com,,,,paper,2nd SHIELD 2017,Universitas Lampung,18-20 September 2017,conference,,,,
30,"['GN', 'HM']","Tulisan mengkaji tentang  kearifan lokal masyarakat adat Lampung yakni tradisi memasak  nasi yaitu Ngejunjong Mi, pada  Marga Legun Way Urang. Ngejunjong Mi adalah cara memasak nasi yang khas bagi kelompok marga Legun Way Urang, dalam acara acara adat tertentu terutama dalam menyambut dan menjamu tamu. Tamu adalah pihak yang sangat penting bagi masyarakat adat Marga Legun Way Urang. Makanan ini tidak hanya memiliki fungsi biologis namun juga memiliki fungsi sosial budaya terutama nilai dan makna dari makanan tersebut. Marga Legun Way Urang memiliki falsafah bahwa memasak nasi tiap hari harus lebih tidak boleh sedikit karena takut nanti ada tamu datang. Sebagai salah satu wilayah yang heterogen dan tujuan transmigrasi maka Lampung sudah terbiasa dengan anekaragam etnis dan agama. Hubungan harmoni ini tidak terlepas dari bagaimana nilai-nilai yang dirawat dalam masyarakat adat Lampung, yakni falsafah Nemui Nyimah. Dalam Nemui Nyimah memperlihatkan bagaimana tradisi menyambut tamu atau dalam hal ini pendatang. Hasil penelitian ini menunjukkan bahwa tradisi ngejunjong mi merupakan makanan yang memiliki nilai dan makna sosial budaya dan penghargaan yang tinggi.  Penelitian ini membangun sebuah solusi bagi merawat toleransi dengan berbasiskan kearifan lokal.",2018-06-04 06:34:43,archive,"[{'type': 'org', 'url': 'http://apssi-sosiologi.org/?p=1260'}]",9,,show,"Ngejunjong Mi : 
Kearifan Lokal dalam Tradisi Nemui Nyimah Marga Legun Way Urang",http://apssi-sosiologi.org/?p=1260,published,6984,2018-06-04 06:34:43,1-10,2018-06-29 02:33:49,314,http://repository.lppm.unila.ac.id/id/eprint/6984,public,TRUE,pub,,"[{'docid': 19958, 'main': 'abstrak APSSI 2018 vivit  UNILA.doc', 'files': [{'objectid': 19958, 'uri': 'http://repository.lppm.unila.ac.id/id/file/63956', 'datasetid': 'document', 'filesize': 67072, 'mime_type': 'application/msword', 'fileid': 63956, 'filename': 'abstrak APSSI 2018 vivit  UNILA.doc', 'hash': 'bf3faa0682bbc6877f0da757ed0d376b', 'mtime': '2018-06-03 09:08:36', 'hash_type': 'MD5'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19958', 'rev_number': 1, 'eprintid': 6984, 'placement': 1, 'security': 'public', 'mime_type': 'application/msword', 'language': 'en'}]",,['FISIP7'],conference_item,2018-05-07,disk0/00/00/69/84,,,"[{'id': 'bartovenvivit@gmail.com', 'name': {'given': 'Bartoven Vivit', 'family': 'Nurdin', 'honourific': None, 'lineage': None}}, {'id': 'iickmaniez@yahoo.com', 'name': {'given': 'Yuni', 'honourific': None, 'family': 'ratnasari', 'lineage': None}}]",,bartovenvivit@gmail.com,,,,paper,Seminar Nasional APSSI,Lombok,7-10 Mei 2018,conference,,,,
31,"['H1', 'HM']","Penelitian ini bertujuan untuk untuk mengembangkan pemahaman konflik yang
lebih dalam dengan menggunakan teori kompleksitas dan transformasi konflik sebagai
panduan teoritis, dan juga mengajukan cara hipotetis untuk memulai usaha peace building
menurut teori transformasi konflik. Jenis penelitian yang akan diterapkan yaitu penelitian
kualitatif eksploratif berdasarkan studi kasus ilustratif tunggal. Penelitian ini akan
bergantung sepenuhnya pada data sekunder. Pendekatan analisis sistemik terdiri dari dua
bagian; salah satunya adalah pemetaan konflik, atau analisis konflik itu sendiri, dan yang
kedua menggunakan analisis ini untuk menyusun strategi proses transformasi merupakan
lensa dalam penelitian ini. Analisis sistemik, sebuah metode yang menekankan pentingnya
hubungan dan efek yang dimiliki masing-masing pihak terhadap semua subsistem yang
berbeda. Studi ini telah menunjukkan analisis tentang multiple sistem mengenai konflik di
Balinuraga melalui lensa transformasi konflik dan teori kompleksitas. Temuan-temuan
menunjukkan bahwa transformasi konflik dapat membawa suatu wilayah, kelompok
menjadi maju, menuju demokrasi, pembangunan dan perdamaian. Ini membutuhkan
implementasi yang hati-hati dan pemantauan sistematis serta komitmen dari semua
pemangku kepentingan yang berkonflik dan bantuan eksternal potensial. Transformasi
konflik, termasuk rekonsiliasi, perubahan tata kelola, transformasi sikap dan perilaku serta
pembangunan kepercayaan adalah proses untuk mengungkap dalam waktu yang cukup
lama, bahkan puluhan tahun dan orang seharusnya tidak mengharapkan hasil segera.",2023-05-15 01:52:26,archive,,9,,show,"Konflik Sosial di Desa Balinuraga:
Suatu Pendekatan Sistemik untuk Analisis Konflik
dan Transformasi",,published,51614,2023-05-15 01:52:26,,2023-05-15 01:52:26,720,http://repository.lppm.unila.ac.id/id/eprint/51614,public,,pub,,"[{'security': 'public', 'placement': 1, 'eprintid': 51614, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/611389', 'objectid': 249443, 'filesize': 491664, 'datasetid': 'document', 'mtime': '2023-05-15 01:40:22', 'hash_type': 'MD5', 'hash': '221ad57e1bd87318c7ddf538e3904fc1', 'filename': 'Penelitian Konflik Sosial di Desa Balinuraga.pdf', 'fileid': 611389, 'mime_type': 'application/pdf'}], 'main': 'Penelitian Konflik Sosial di Desa Balinuraga.pdf', 'docid': 249443, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/249443', 'format': 'text', 'pos': 1}]",DIPA FISIP Universitas Lampung,['FISIP7'],other,2018-08,disk0_bak/00/05/16/14,,,"[{'name': {'honourific': None, 'family': 'Susetyo', 'lineage': None, 'given': 'Susetyo'}, 'id': 'susetyo.1958@fisip.unila.ac.id'}, {'id': 'ikram_badila@yahoo.com', 'name': {'family': 'Ikram', 'honourific': None, 'lineage': None, 'given': 'Ikram'}}, {'name': {'given': 'Usman Raidar', 'family': 'Usman Raidar', 'honourific': None, 'lineage': None}, 'id': 'sosiologifisip@fisip.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Teuku', 'honourific': None, 'given': 'Fahmi'}, 'id': 'teukufahmi@gmail.com'}]",,,,,,,,,,,,,,
32,"['H1', 'HM']","Tujuan penelitian ini untuk mengetahui dan menjelaskan trend kejahatan
dalam data statistik kriminal di wilayah hukum Kepolisian Daerah Lampung
tahun 2010-2015. Selain itu, penelitian ini juga bertujuan untuk mengetahui dan
menjelaskan dan faktor demografi di wilayah hukum kepolisian Kepolisian
Daerah Lampung. Penelitian ini menggunakan pendekatan kuantitatif, adapun
jenis penelitian yang digunakan adalah deskriptif. Data sekunder yang digunakan
dalam penelitian ini mencakup: (1) data statistik kriminal resmi tahun 2010-2015
yang bersumber dari Kepolisian Daerah Lampung, khususnya Puskodal Ops dan
Reskrim, dan (2) data tentang perkembangan demografi, terutama tentang jumlah
pertumbuhan penduduk di Provinsi Lampung tahun 2010-2015 yang berasal dari
Biro Pusat Statistik Provinsi Lampung. Hasil analisis penelitian menunjukkan (1)
Secara keseluruhan total crime rate tahun 2010-2015 di wilayah Provinsi
Lampung mengalami fluktuasi naik dan turun. Nilai puncak total crime rate
berada di tahun 2014, yakni sebesar 24,2. Kemudian disusul di tahun 2015 (23,3)
dan di tahun 2010 (22,2); (2) Total jumlah kejahatan yang dilaporkan pada
Polresta Bandar Lampung di tahun 2010 (untuk sepuluh jenis kejahatan) ada
sebanyak 1.799 laporan. Terjadi penurunan pada tahun 2011 sebesar 1,6 persen
(1.770 laporan) dari tahun sebelumnya. Sedangkan di tahun 2014 terjadi
peningkatan 13,9 persen (2017 laporan) dari tahun sebelumnya, di tahun 2015
kembali terjadi peningkatan jumlah kejahatan yang dilaporkan yakni sebanyak
2.051 laporan. Namun demikian, di tahun 2015 terjadi penurunan sebesar 4,2
persen terhadap jumlah kejahatan yang dilaporkan yakni sebanyak 1.963 laporan,
dan (3) Kejahatan pencurian kendaraan bermotor memiliki crime rate yang cukup
tinggi jika dibandingkan dengan jenis kejahatan lainnya.",2023-05-15 06:47:30,archive,,8,,show,ANALISIS TREND KEJAHATAN DALAM STATISTIK KEPOLISIAN  DI WILAYAH HUKUM KEPOLISIAN DAERAH LAMPUNG  TAHUN 2010-2015,,published,51622,2023-05-15 06:47:30,,2023-05-15 06:47:30,720,http://repository.lppm.unila.ac.id/id/eprint/51622,public,,pub,,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 51622, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/249486', 'docid': 249486, 'main': 'Penelitian Analisis Trend.pdf', 'files': [{'objectid': 249486, 'uri': 'http://repository.lppm.unila.ac.id/id/file/611491', 'mime_type': 'application/pdf', 'fileid': 611491, 'hash': '20caad5ef4b5a327f2a358d7a73a85ea', 'filename': 'Penelitian Analisis Trend.pdf', 'mtime': '2023-05-15 02:40:41', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 2445299}]}]",DIPA FISIP Universitas Lampung,['FISIP7'],other,2018-08,disk0_bak/00/05/16/22,,,"[{'id': 'teukufahmi@gmail.com', 'name': {'given': 'Fahmi', 'lineage': None, 'honourific': None, 'family': 'Teuku'}}, {'name': {'given': 'Susetyo', 'family': 'Susetyo', 'honourific': None, 'lineage': None}, 'id': 'susetyo.1958@fisip.unila.ac.id'}, {'name': {'given': 'Ikram', 'lineage': None, 'family': 'Ikram', 'honourific': None}, 'id': 'ikram_badila@yahoo.com'}]",,,,,,,,,,,,,,
