,creators,date,dir,type,book_title,divisions,ispublished,documents,publisher,uri,full_text_status,refereed,lastmod,userid,datestamp,eprintid,title,rev_number,metadata_visibility,status_changed,eprint_status,subjects,abstract,publication,event_type,event_title,pres_type,pagerange,place_of_pub,isbn,monograph_type,issn,corp_creators,id_number,funders,official_url,related_url,projects,institution,date_type,learning_level,completion_time,pedagogic_type,skill_areas,volume,number,contributors,copyright_holders,task_purpose,event_location,event_dates,pages,department,keywords
26,"[{'id': 'fxsmj.unila@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Sumarja', 'given': 'FX'}}]",2019-12-02 00:00:00.000000000,disk0/00/01/72/94,article,,['FH2'],pub,"[{'files': [{'hash': 'cd48d664845ed837758928b982698806', 'filename': 'Eksistensi Lembaga Penilai_Bhumi_2-2019.pdf', 'hash_type': 'MD5', 'mtime': '2019-12-12 02:04:36', 'mime_type': 'application/pdf', 'fileid': 146436, 'filesize': 113319, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/146436', 'objectid': 30404}], 'docid': 30404, 'main': 'Eksistensi Lembaga Penilai_Bhumi_2-2019.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30404', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 17294, 'mime_type': 'application/pdf', 'language': 'en'}]",STPN Press,http://repository.lppm.unila.ac.id/id/eprint/17294,public,TRUE,2019-12-19 02:55:59,940,2019-12-19 02:55:59,17294,"EKSISTENSI LEMBAGA PENILAI DALAM PENGADAAN TANAH
(THE EXISTENCE OF APPRAISAL AGENCIES IN LAND ACQUISITION)",6,show,2019-12-19 02:55:59,archive,['KZ'],"Compensation often arises in land acquisition. The purpose of this study is to determine the existence
of an appraisal institution in providing an assessment of the land and/or objects that are on it, as a basis for
providing reasonable compensation. The study method used in this study is normative juridical approach. The
data was critically analyzed using content analysis. The results of the study indicate that the Government has
established an independent institution, namely the Land Appraisal Agency, as the basis for providing compen-
sation. The existence of an independent institution was f irst regulated in Presidential Regulation No. 36 of
2005. In 2012, the Land Appraisal Agency obtained a perfect regulation in a law. However, it is not automatically
the only institution that has authority in valuing land prices. The government is still being halfhearted. The
Land Appraisal Institution received full position in the land acquisition after the Ministerial Regulation of
Agrarian & Spatial Planning/Head of National Land Agency No. 6 of 2015 was made.",Bhumi,,,,208-221,,,,1412 - 730X,['Fakultas Hukum Universitas Lampung'],940,['KPK RI'],https://jurnalbhumi.stpn.ac.id/index.php/JB/article/view/371/296,[{'url': 'http://repository.lppm.unila.ac.id'}],['In House Training'],,published,,,,,5,2,,,,,,,,
27,"[{'id': 'fxsmj.unila@gmail.com', 'name': {'honourific': None, 'family': 'Sumarja', 'lineage': None, 'given': 'FX'}}]",2019-07-25 00:00:00.000000000,disk0/00/01/38/44,teaching_resource,,['FH2'],unpub,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/26875', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'filesize': 85641, 'datasetid': 'document', 'filename': 'Makalah_Jadi_Penilai_FX_Sumarja.pdf', 'hash': '4442b03f5981ba4c435962e5d59ac006', 'hash_type': 'MD5', 'mtime': '2019-08-18 15:04:46', 'mime_type': 'application/pdf', 'fileid': 120836, 'uri': 'http://repository.lppm.unila.ac.id/id/file/120836', 'objectid': 26875}], 'docid': 26875, 'main': 'Makalah_Jadi_Penilai_FX_Sumarja.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 13844}]",---,http://repository.lppm.unila.ac.id/id/eprint/13844,public,,2019-08-19 03:33:08,940,2019-08-19 03:33:08,13844,EKSISTENSI LEMBAGA PENILAI DALAM PENGADAAN TANAH,8,show,2019-08-19 03:33:08,archive,['K1'],"Dalam pengadaan tanah, persoalan yang sering muncul adalah besaran ganti rugi. Untuk memperoleh nilai ganti rugi yang wajar agar rakyat tidak dirugikan atau menjadi turun kesejahteraannya, maka pemerintah dalam perjalanan sejarah pengadaan tanah telah  melakukan upaya agar ganti rugi tidak menurunkan tingkat kesejahteraan rakyat. Upaya yang ditempuh pemerintah adalah membentuk berbagai lembaga yang diberi kewenangan untuk menghitung/menaksir nilai tanah dan atau benda-benda yang ada di atasnya. Berikut diuraikan perjalanan sejarah berbagai lembaga yang mendapat kewenangan untuk menghitung/menaksir agar besaran ganti kerugian yang diterima oleh yang berhak adalah wajar dan tentunya tidak merugikan yang berhak, dalam rangka pengadaan tanah oleh pemerintah",,,,,,,,,,['Fakultas Hukum Universitas Lampung'],,['KPK-RI'],http://repository.lppm.unila.ac.id,[{'url': 'http://repository.lppm.unila.ac.id'}],['In House Training'],,,---,25 Juli 2019,problem,['---'],,,"[{'type': 'http://www.loc.gov/loc.terms/relators/FND', 'name': {'family': 'KPK', 'honourific': None, 'lineage': None, 'given': 'Sub Penindakan'}}]",['---'],Memberikan pemahaman kepada para penegak hukum dalam rangka pengadaan tanah yang melibatkan penilai tanah,,,,,
28,"[{'id': 'fxsmj.unila@gmail.com', 'name': {'given': 'FX', 'lineage': None, 'honourific': None, 'family': 'Sumarja'}}]",2019-06-11 00:00:00.000000000,disk0/00/01/38/48,conference_item,,['FH2'],pub,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 13848, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26878', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'fileid': 120861, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-08-18 16:02:56', 'filename': 'Menggapai Tanah Harapan_FX_Sumarja.pdf', 'hash': 'fdf853afde4bf55de90b6f8482b93888', 'datasetid': 'document', 'filesize': 74004, 'objectid': 26878, 'uri': 'http://repository.lppm.unila.ac.id/id/file/120861'}], 'docid': 26878, 'main': 'Menggapai Tanah Harapan_FX_Sumarja.pdf'}]",,http://repository.lppm.unila.ac.id/id/eprint/13848,public,TRUE,2019-08-19 03:31:25,940,2019-08-19 03:31:25,13848,MENGGAPAI TANAH HARAPAN,7,show,2019-08-19 03:31:25,archive,['K1'],"Transmigrasi adalah upaya meningkatkan kesejahteraan dan peran serta masyarakat dalam pemerataan pembangunan daerah serta memperkukuh persatuan dan kesatuan bangsa. Kepemilikan tanah merupakan salah satu sarananya untuk  meningkatkan kesejahteraan rakyat, dengan memberikan sertipikat tanah sebagai jaminan kepastian hukum. Pemberian sertipikat tanah ternyata belum dapat menjamin kesejahteraan, karena tanahnya diklaim oleh masyarakt setempat, apalagi tanah yang belum ada sertipikatnya. Diperlukan terobosan hukum untuk memberikan rasa aman kepada transmigran atas kepemilikan tanahnya, tanpa mengabaikan kepentingan masyarakat tempatan transmigrasi.",,conference,"Seminar dan Lokakarya Nasional Transformasi Kebijakan Agraria dan Transmigrasi: Quo Vadis Pedesaan di Indonesia” oleh LPPM Unila, 10-11 Juli 2019",speech,1-12,,,,,['Fakultas Hukum Universitas Lampung'],,['LPPM Unila'],http://repository.lppm.unila.ac.id,[{'url': 'http://repository.lppm.unila.ac.id'}],"['Seminar dan Lokakarya Nasional Transformasi Kebijakan Agraria dan Transmigrasi: Quo Vadis Pedesaan di Indonesia” oleh LPPM Unila, 10-11 Juli 2019']",,published,,,,,,,"[{'name': {'given': 'Unila', 'honourific': None, 'family': 'LPPM Unila', 'lineage': None}, 'type': 'http://www.loc.gov/loc.terms/relators/FND'}]",,,Bandar Lampung,10-11 Juni 2019,,,
29,"[{'id': 'fxsmj.unila@gmail.com', 'name': {'given': 'FX', 'lineage': None, 'family': 'Sumarja', 'honourific': None}}]",2019-02-20 00:00:00.000000000,disk0/00/01/08/80,article,,['FH2'],pub,"[{'placement': 1, 'security': 'public', 'eprintid': 10880, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'hash_type': 'MD5', 'mtime': '2019-03-04 07:40:37', 'filename': 'eai.30-10-2018.2281453.pdf', 'hash': '78e15920bd119b19f8cd0894c1094a11', 'fileid': 100080, 'mime_type': 'application/pdf', 'filesize': 160990, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/100080', 'objectid': 23889}], 'main': 'eai.30-10-2018.2281453.pdf', 'docid': 23889, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23889', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",European Alliance for Innovation (EAI),http://repository.lppm.unila.ac.id/id/eprint/10880,public,TRUE,2019-03-06 06:19:49,940,2019-03-06 06:19:49,10880,Optimization of Land Use in Development of Sustainable Tourism,6,show,2019-03-06 06:19:49,archive,['K1'],"Land use is one of the rights owned by individuals/groups of people or legal entities that have land rights according to Law of the Republic of Indonesia Number 5 of 1960 concerning Basic Regulations of Agrarian Principles (UU No. 5 Tahun 1960 tentang Peraturan Dasar Pokok-Pokok Agraria/UUPA). Land rights regulated by UUPA include Right of Ownership, Right of Exploitation, Right to Build, Right to Use, and Right to Rent for Buildings. It is often found in community practice, considering that not all holders of land rights can use their land optimally, while they need funds, then they take shortcuts, namely land for sale (sell off). Even though Articles 10, 24, 35, 41 and 53 of the UUPA allow a person who has rights on land but is unable to use it himself, it is permissible to cooperate with other parties with an agreement on the imposition of rights or a cooperation of agreement on land use. Of course, the format depends on the type of land, agriculture or non-agriculture. One of the collaborative use of non-agricultural land is the Build Operate Transfer agreement, in addition to the agreement to impose other land rights.","Proceedings of the 1st Warmadewa Research and Development Seminar (WARDS),30 October 2018, Denpasar-Bali, Indonesia",,,,-----,,,,2593-7650,['Fakultas Hukum Universitas Lampung'],940,['Universitas Warmadewa- Denpasar bali'],http://eudl.eu/doi/10.4108/eai.30-10-2018.2281453,[{'url': 'http://repository.lppm.unila.ac.id'}],['Seminar nasional'],,published,,,,,1,1,,,,,,,,
30,"[{'id': 'fxsmj.unila@gmail.com', 'name': {'given': 'FX', 'honourific': None, 'family': 'Sumarja', 'lineage': None}}]",2019-10-01 00:00:00.000000000,disk0/00/01/47/39,article,,['FH2'],unpub,"[{'files': [{'filesize': 54689, 'datasetid': 'document', 'mtime': '2019-10-30 01:16:02', 'hash_type': 'MD5', 'hash': 'ded7ec91e7ac763dccdafd74b61fdea3', 'filename': 'Revisi_Makalah_Pemberdayaan_masyarakat_pasca legalisasi aset_melalui Optimalisasi_pemanfaatan_tanah_.pdf', 'fileid': 127551, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/127551', 'objectid': 27851}], 'docid': 27851, 'main': 'Revisi_Makalah_Pemberdayaan_masyarakat_pasca legalisasi aset_melalui Optimalisasi_pemanfaatan_tanah_.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27851', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 14739, 'mime_type': 'application/pdf', 'language': 'en'}]",-,http://repository.lppm.unila.ac.id/id/eprint/14739,public,TRUE,2019-11-04 03:33:53,940,2019-11-04 03:33:53,14739,PEMBERDAYAAN MASYARAKAT PASCA LEGALISASI ASET MELALUI OPTIMALISASI PEMANFAATAN TANAH,7,show,2019-11-04 03:33:53,archive,['K1'],"Legalisasi aset dan redistribusi tanah merupakan salah satu program reforma agraria yang disebut penataan aset, selain penataan akses. Setelah dilakukan penataan aset melalui legaliasi aset, perlu dilakukan penataan akses. Penataan akses adalah pemberian kesempatan akses permodalan dan bantuan lain kepada penerima sertipikat tanah dalam rangka meningkatkan kesejahteraan yang berbasis pemanfaatan tanah, Pemberian kesempatan seperti itulah yang dimaksud pemberdayaan masyarakat pemilik tanah. Salah satu caranya melalui optimalisasi pemanfaatan tanah. Pemanfaatan tanah merupakan salah satu hak yang dimiliki oleh individu/kelompok orang atau badan hukum yang memiliki hak atas tanah menurut UU No. 5 Tahun 1960 tentang Peraturan Dasar Pokok-Pokok Agraria (UUPA). Hak atas tanah yang diatur UUPA diantaranya, Hak Milik, Hak Guna Usaha, Hak Guna Bangunan, Hak Pakai, dan Hak Sewa untuk Bangunan. Seringkali dijumpai dalam praktik bermasyarakat, mengingat tidak semua pemegang hak atas tanah dapat memanfaatkan tanahnya secara optimal, sementara ia memerlukan dana, kemudian mengambil jalan pintas, yaitu tanah dijual (jual lepas). Padahal UUPA memungkinkan seseorang yang memiliki hak atas tanah dan tidak mampu memanfaatkannya sendiri diperbolehkan untuk dikerjasamakan dengan pihak lain dengan perjanjian  pembebanan hak atau perjanjian kerjasama pemanfaatan tanah. Tentu saja bentuknya tergantung dari jenis tanahnya, pertanian atau non-pertanian.",--,,,,-----,,,,--,['Fakultas Hukum Universitas Lampung'],940,['Kanwil BPN Prov Lampung'],http://repository.lppm.unila.ac.id,[{'url': 'http://repository.lppm.unila.ac.id'}],['Reforma agraria'],,,,,,,--,--,,,,,,,,
31,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Sumarja', 'given': 'FX'}, 'id': 'fxsmj.unila@gmail.com'}]",2019-04-16 00:00:00.000000000,disk0/00/01/14/06,other,,['FH2'],pub,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/24412', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'mime_type': 'application/pdf', 'fileid': 103725, 'filename': 'Makalah_Pemberdayaan_masyarakat_melalui Optimalisasi_pemanfaatan_tanah_.pdf', 'hash': 'a558116c4c80bb775b0e834b01687473', 'hash_type': 'MD5', 'mtime': '2019-04-29 08:27:52', 'datasetid': 'document', 'filesize': 51022, 'objectid': 24412, 'uri': 'http://repository.lppm.unila.ac.id/id/file/103725'}], 'docid': 24412, 'main': 'Makalah_Pemberdayaan_masyarakat_melalui Optimalisasi_pemanfaatan_tanah_.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 11406}]",---,http://repository.lppm.unila.ac.id/id/eprint/11406,public,,2019-05-02 04:23:21,940,2019-05-02 04:23:21,11406,PEMBERDAYAAN MASYARAKAT PEMILIK TANAH MELALUI OPTIMALISASI PEMANFAATAN TANAH PASCA LEGALISASI ASET,7,show,2019-05-02 04:23:21,archive,['K1'],"Legalisasi aset dan redistribusi tanah merupakan salah satu program reforma agraria yang disebut penataan aset, selain penataan akses. Setelah dilakukan penataan aset melalui legaliasi aset, perlu dilakukan penataan akses. Penataan akses adalah pemberian kesempatan akses permodalan dan bantuan lain kepada penerima sertipikat tanah dalam rangka meningkatkan kesejahteraan yang berbasis pemanfaatan tanah, Pemberian kesempatan seperti itulah yang dimaksud pemberdayaan masyarakat pemilik tanah. Salah satu caranya melalui optimalisasi pemanfaatan tanah. Pemanfaatan tanah merupakan salah satu hak yang dimiliki oleh individu/kelompok orang atau badan hukum yang memiliki hak atas tanah menurut UU No. 5 Tahun 1960 tentang Peraturan Dasar Pokok-Pokok Agraria (UUPA). Hak atas tanah yang diatur UUPA diantaranya, Hak Milik, Hak Guna Usaha, Hak Guna Bangunan, Hak Pakai, dan Hak Sewa untuk Bangunan. Seringkali dijumpai dalam praktik bermasyarakat, mengingat tidak semua pemegang hak atas tanah dapat memanfaatkan tanahnya secara optimal, sementara ia memerlukan dana, kemudian mengambil jalan pintas, yaitu tanah dijual (jual lepas). Padahal UUPA memungkinkan seseorang yang memiliki hak atas tanah dan tidak mampu memanfaatkannya sendiri diperbolehkan untuk dikerjasamakan dengan pihak lain dengan perjanjian  pembebanan hak atau perjanjian kerjasama pemanfaatan tanah. Tentu saja bentuknya tergantung dari jenis tanahnya, pertanian atau non-pertanian. 

Kata kunci: Pemberdayaan, pembebanan hak, Perjanjian Pemanfaatan tanah",,,,,,---,,,,['Fakultas Hukum Universitas Lampung'],940,['Kanwil BPN Provinsi Lampung'],http://repository.lppm.unila.ac.id,[{'url': 'http://repository.lppm.unila.ac.id'}],['Bimbingan Teknis Sumber Daya Manusia (SDM) Pelaksana Pemberdayaan Masyarkat'],,published,,,,,,,,,,,,,,
32,"[{'name': {'family': 'Sumarja', 'honourific': None, 'lineage': None, 'given': 'FX'}, 'id': 'fxsmj.unila@gmail.com'}]",2019-08-16 00:00:00.000000000,disk0/00/01/38/46,other,,['FH2'],unpub,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 13846, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26876', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'filesize': 132427, 'datasetid': 'document', 'hash': '92065c1d12b282219029b69566cf1104', 'filename': 'FX_Sumarja_ Pengadaan Tanah Skala Kecil.pdf', 'hash_type': 'MD5', 'mtime': '2019-08-18 15:34:39', 'mime_type': 'application/pdf', 'fileid': 120846, 'uri': 'http://repository.lppm.unila.ac.id/id/file/120846', 'objectid': 26876}], 'main': 'FX_Sumarja_ Pengadaan Tanah Skala Kecil.pdf', 'docid': 26876}]",---,http://repository.lppm.unila.ac.id/id/eprint/13846,public,,2019-08-19 03:33:55,940,2019-08-19 03:33:55,13846,PENGADAAN TANAH SKALA KECIL UNTUK KEPENTINGAN UMUM,8,show,2019-08-19 03:33:55,archive,['K1'],"Berdasarkan dua ketentuan Pasal 53 dan 54A Permen ATR/BPN No. 6/2015 tersebut dapat dikatakan bahwa pengadaan tanah yang dilaksanakan secara langsung, baik pengadaan tanah bagi pembangunan untuk kepentingan umum maupun bukan untuk kepentingan umum, diperlukan jasa penilai tanah dalam menentukan nilai jual beli.",,,,,,KPK,,,,['Fakultas Hukum Universitas Lampung'],940,['KPK Bidang Pengawasan Internal dan Pengaduan Masyarakat'],http://repository.lppm.unila.ac.id,[{'url': 'http://repository.lppm.unila.ac.id'}],['Konsultasi hukum'],,completed,,,,,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/FND', 'name': {'given': 'KPK', 'lineage': None, 'family': 'Bidang Pengawasan Internal dan Pengaduan Masyarakat', 'honourific': None}}]",,,,,,,
33,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Sumarja', 'given': 'FX'}, 'id': 'fxsmj.unila@gmail.com'}]",2019-05-06 00:00:00.000000000,disk0/00/01/18/61,other,,['FH2'],unpub,"[{'eprintid': 11861, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 24852, 'main': 'Naskah_Paduserasi_Mei_2019.pdf', 'files': [{'objectid': 24852, 'uri': 'http://repository.lppm.unila.ac.id/id/file/106644', 'mime_type': 'application/pdf', 'fileid': 106644, 'hash': '37cb87d6aca548d46c143d4220b5f16a', 'filename': 'Naskah_Paduserasi_Mei_2019.pdf', 'mtime': '2019-05-07 03:02:01', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 76635}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24852'}]",---,http://repository.lppm.unila.ac.id/id/eprint/11861,public,,2019-05-09 01:54:32,940,2019-05-09 01:54:32,11861,Paduserasi Pembangunan Pemukiman (Perumahan) Pada Zona Kawasan Peruntukan Industri di Kabupaten Lampung Selatan,9,show,2019-05-09 01:54:32,archive,['K1'],"Kajian paduserasi tata ruang daerah dengan tata guna tanah adalah suatu kajian terhadap aturan main dalam pelaksanaan paduserasi rencana tata ruang daerah dengan tata guna tanah, dasar hukum, serta upaya yang dilakukan oleh pemerintah untuk mengoptimalkan struktur ruang daerah sesuai dengan rencana pembangunan/pengembangan daerah. Kajian paduserasi tata ruang daerah dengan tata guna tanah berorientasi menemukan keserasian antara kegiatan pembangunan pada kawasan peruntukan industri  dengan kegiatan pembangunan perumahan (pemukiman) di Kabupaten Lampung Selatan. Oleh karenanya analisis paduserasi tata ruang daerah dengan tata guna tanah sangat diperlukan. Hasil kajian menunjukkan bahwa kegiatan pembangunan perumahan (pemukiman) yang letak tanahnya berada di kawasan peruntukan industri tidak bertentangan/tidak melanggar Rencana Tata Ruang wilayah yang telah ditetapkan dalam Perda 15 Tahun 2012 tentang RTRW Kabupaten Lampung Selatan tahun 2011-2031. Mengingat: pertama, Rencana Tata Ruang Wilayah bersifat fleksibel (terbuka); kedua, berdasarkan ketentuan Pasal  117 ayat (2) huruf a, bahwa kegiatan pembangunan pemukiman (perumahan) adalah diizinkan meski berada pada zonasi kawasan peruntukan industri;  ketiga, yang dilarang berdasarkan ketentuan Pasal 117 ayat (2) huruf c, adalah kegiatan pembangunan pemukiman (perumahan) yang berbatasan langsung dengan kawasan industri.

Kata kunci: Pemukiman, perumahan, kawasan peruntukan industri, kawasan industri",,,,,,---,,,,['Fakultas Hukum Universitas Lampung'],940,['---'],http://repository.lppm.unila.ac.id,[{'url': 'http://repository.lppm.unila.ac.id'}],['FGD tentang perizinan perumahan'],,published,,,,,,,,,,,,,,
34,"[{'id': 'fxsmj.unila@gmail.com', 'name': {'given': 'FX', 'lineage': None, 'honourific': None, 'family': 'Sumarja'}}]",2019-04-05 00:00:00.000000000,disk0/00/01/14/09,other,,['FH2'],pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 11409, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24416', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'filesize': 94256, 'datasetid': 'document', 'filename': 'Makalah Reforma_Agraria 5_April 2019.pdf', 'hash': '27d8aa0f69e1ce78d15f06175e6527ca', 'hash_type': 'MD5', 'mtime': '2019-04-29 08:53:29', 'mime_type': 'application/pdf', 'fileid': 103744, 'uri': 'http://repository.lppm.unila.ac.id/id/file/103744', 'objectid': 24416}], 'main': 'Makalah Reforma_Agraria 5_April 2019.pdf', 'docid': 24416}]",---,http://repository.lppm.unila.ac.id/id/eprint/11409,public,,2019-05-02 04:23:23,940,2019-05-02 04:23:23,11409,REFORMA AGRARIA: SEBUAH KENISCAYAAN,7,show,2019-05-02 04:23:23,archive,['K1'],"Pada dasarnya tanah adalah milik rakyat Indonesia. Negara sebagai penjelmaan dari rakyat hanya mempunyai hak  mengatur  penggunaannya  agar  dapat  mengejar  kemakmuran  bersama. Perombakan pemilikan dan  penguasaan  tanah serta hubungan-hubungan  hukum  yang  bersangkutan dengan  pengusahaan  tanah  dalam  mewujudkan  pemerataan  kemakmuran  dan keadilan, tidak imbang dalam pelaksanaan dan hanya dititikberatkan pada redistribusi/legalisasi  tanah  kepada  petani-petani  penggarap  (petani  tanpa  punya  tanah), tanpa kebijakan ikutan pendukung yang lain. Seharusnya diikuti dengan kebijakan ikutan lainnya, seperti kebijakan pembukaan tanah-tanah pertanian baru, usaha-usaha mempertinggi produktivitas, kebijakan harga-harga hasil pertanian yang menguntungkan petani, penyediaan kredit ringan, kebijakan harga saprodi yang murah, bimbingan dan pelatihan-pelatihan kepada petani, dan usaha pemasaran produk-produk pertanian.

Kata kunci: petani, redistribusi, kemakmuran, kebijakan ikutan",,,,,,---,,,,['Fakultas Hukum Universitas Lampung'],940,['Kementerian ATR/Ka.BPN RI'],http://repository.lppm.unila.ac.id,[{'url': 'http://repository.lppm.unila.ac.id'}],"['Sosialisasi Reforma Agraria dengan Stakeholder di Daerah Kabupaten Lampung Utara, 5 April 2019']",,published,,,,,,,,,,,,,,
35,"[{'name': {'family': 'Sumarja', 'honourific': None, 'lineage': None, 'given': 'FX'}, 'id': 'fxsmj.unila@gmail.com'}]",2019-07-18 00:00:00.000000000,disk0/00/01/38/47,conference_item,,['FH2'],unpub,"[{'docid': 26877, 'main': 'Makalah_Pembahas_FX_Sumarja(1).pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/120854', 'objectid': 26877, 'filesize': 49629, 'datasetid': 'document', 'mtime': '2019-08-18 15:48:52', 'hash_type': 'MD5', 'filename': 'Makalah_Pembahas_FX_Sumarja(1).pdf', 'hash': '574d1e8c8a3653c6f2e972add5a7de4e', 'fileid': 120854, 'mime_type': 'application/pdf'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26877', 'eprintid': 13847, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",,http://repository.lppm.unila.ac.id/id/eprint/13847,public,TRUE,2019-08-19 03:27:28,940,2019-08-19 03:27:28,13847,TANGGUNGJAWAB PEMERINTAH DALAM PENDIDIKAN PROGRAM PROFESI ADVOKAT,7,show,2019-08-19 03:27:28,archive,['K1'],Presiden sebagai Kepala Pemerintahan melalui Kementerian Ristekdikti telah berupaya agar penegakkan hukum dan keadilan di Indonesia  sungguh dapat dirasakan masyarakat pencari keadilan melalui peran advokat. Seorang advokat sebagai salah satu unsur penegak hukum harus mendapatkan pendidikan yang mumpuni melalui sistem pendidikan program profesi advokat yang memenuhi Standar Nasional Pendidkan Tinggi,,other,"FGD tentang Penegakan Hukum dan Keadilan dalam Negara Hukum Republik Indonesia, dengan sub tema “Wewenang dan Tanggung Jawab Presiden dalam Sistem Peradilan Guna Penegakkan Hukum dan Keadilan”, kerja sama Lembaga Pengkajian MPR RI dengan Universitas Lampu",paper,1-6,,,,,['Fakultas Hukum Universitas Lampung'],,['Lembaga Pengkajian MPR RI'],http://repository.lppm.unila.ac.id,[{'url': 'http://repository.lppm.unila.ac.id'}],['FGD tentang Penegakan Hukum dan Keadilan dalam Negara Hukum Republik Indonesia'],,published,,,,,,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Lembaga Pengkajian MPR RI', 'given': 'MPR'}, 'type': 'http://www.loc.gov/loc.terms/relators/FND'}]",,,Bandar Lampung,18 Juli 2019,,,
