,publication,creators,issn,dir,date,type,divisions,ispublished,number,publisher,documents,full_text_status,uri,refereed,lastmod,userid,datestamp,pagerange,eprintid,date_type,official_url,title,volume,rev_number,metadata_visibility,eprint_status,status_changed,related_url,subjects,abstract,succeeds,institution,monograph_type,contributors,id_number,corp_creators,referencetext,book_title,isbn,pres_type,event_type,event_dates,event_title,event_location,place_of_pub,contact_email
52,American Journal of Humanities and Social Sciences Research (AJHSSR),"[{'id': 'yaktiworo.indriani@fp.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Indriani', 'given': 'Yaktiworo'}}, {'id': 'samsu.udayana@fp.unila.ac.id', 'name': {'given': 'Samsu', 'lineage': None, 'honourific': None, 'family': 'Udayana'}}, {'name': {'honourific': None, 'family': 'Rodiani', 'lineage': None, 'given': 'Rodiani'}, 'id': 'rodiani.1979@fk.unila.ac.id'}]",2378-703X,disk0/00/04/39/92,2022-08-07,article,['FP1'],pub,8.0,AJHSSR,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/165990', 'main': 'E226085257.pdf', 'docid': 165990, 'files': [{'filesize': 475446, 'datasetid': 'document', 'mtime': '2022-08-10 16:12:36', 'hash_type': 'MD5', 'hash': '7903f65e0957e647f44292a9cd083822', 'filename': 'E226085257.pdf', 'fileid': 478667, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/478667', 'objectid': 165990}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 43992, 'placement': 1, 'security': 'public'}]",public,http://repository.lppm.unila.ac.id/id/eprint/43992,TRUE,2022-08-12 03:11:57,938,2022-08-12 03:11:57,52-57,43992,published,http://ajhssr.com,"Prevalence and affecting factors of stunting in toddlers in Bandar Lampung City, Indonesia",6.0,11,show,archive,2022-08-12 03:11:57,[{'url': 'https://www.ajhssr.com/wp-content/uploads/2022/08/E226085257.pdf'}],['S1'],"The prevalence of stunting in children under five (toddler) in Lampung Province reached 31.6 percent in 2017, after experiencing an increase for three consecutive years.In 2018 this figure may drop slightly to 27.5%, but this is still quite high. Some cities and districts have a much higher figure, including Bandar Lampung as the provincial capital, which reaches 33.4%. This study aims to determine the prevalence and influencing factors of stunting in toddlers in Bandar Lampung by a survey method that takes a sample of 124 toddlers who are registered in posyandu in three topographic regions. The three regions are lowland, urban and highland. The research data was collected in September-October 2019, including anthropometric data and nutritional intake of toddlers as well as the socio-economic characteristics of their families. The results showed that the prevalence of stunting was 43.5%, much higher than the provincial average. This research showed that stunting was also significantly influenced by the education and social status of the mother, namely the mother's occupation before marriage and the mother's employment status during pregnancy; not only caused by lack of nutritional intake.",,,,,,,,,,,,,,,,
53,Jurnal Ilmu-Ilmu Agribisnis,"[{'id': None, 'name': {'family': 'Indriastuti', 'honourific': None, 'lineage': None, 'given': 'Meitry'}}, {'name': {'lineage': None, 'family': 'Prasmatiwi', 'honourific': None, 'given': 'Fembriarti Erry'}, 'id': 'fembriarti.erry@fp.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Endaryanto', 'honourific': None, 'given': 'Teguh'}, 'id': 'teguh.endaryanto@fp.unila.ac.id'}]",2337 7070,disk0/00/04/17/12,2022-02,article,['FP1'],pub,1.0,Juruan Agribisnis Fakultas Pertanian Universitas Lampung,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163373', 'pos': 1, 'format': 'text', 'files': [{'objectid': 163373, 'uri': 'http://repository.lppm.unila.ac.id/id/file/461099', 'datasetid': 'document', 'filesize': 513689, 'fileid': 461099, 'mime_type': 'application/pdf', 'mtime': '2022-05-22 00:41:42', 'hash_type': 'MD5', 'filename': 'Meitri - valuasi ekonomi.pdf', 'hash': '30eb9954c98165994b0d803f32000130'}], 'docid': 163373, 'main': 'Meitri - valuasi ekonomi.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 41712}]",public,http://repository.lppm.unila.ac.id/id/eprint/41712,TRUE,2022-05-23 01:30:47,728,2022-05-23 01:30:47,53-60,41712,published,https://jurnal.fp.unila.ac.id/index.php/JIA/article/view/5668,VALUASI EKONOMI DAN DAMPAK WISATA ALAM BUKIT SAKURA TERHADAP PEREKONOMIAN MASYARAKAT,10.0,6,show,archive,2022-05-23 01:30:47,,['AC'],"The purposes of this study are to explore the travel costs incurred by visitors to Bukit Sakura, the factors that affect the number of tourist visits to Bukit Sakura, the economic value of Bukit Sakura and the impact of Bukit Sakura on the people's economy. The research location was chosen deliberately in Bukit Sakura Nature Tourism. Data collection was carried out in March-July 2020. The method used in this study was a case study with 76 visitor respondents, 15 worker respondents and 8 business unit respondents. The data analysis methods used are travel cost analysis, Poisson regression analysis, economic value calculation, and Keynesian multiplier effect. Travel expenses incurred by visitors to Bukit Sakura tourism are IDR 88,805 per person per visit. The factors that influence the number of visits to Bukit Sakura are the age and cost of the trip. The economic value of Bukit Sakura based on the travel cost method is IDR 13,111,054,718.63. The Income Multiplier Keynesian value is 0.45 while the Income Multiplier Ratio Type 1 value is 2.68 and the value obtained from Income Multiplier Ratio Type 2 is 5.18. The Income Multiplier Keynesian value of 0.45 indicates that Bukit Sakura tourism still has a low economic impact.

Key words: economic impacts, economic value, number of visits, and travel costs.",,,,,,['Universitas Lampung'],,,,,,,,,,
54,Sustainability Science and Resources,"[{'name': {'given': 'R Hanung', 'honourific': None, 'family': 'Ismono', 'lineage': None}, 'id': 'hismono@fp.unila.ac.id'}, {'name': {'given': 'Bustanul', 'family': 'Arifin', 'honourific': None, 'lineage': None}, 'id': 'barifin@uwalumni.com'}, {'id': 'katsuyat@gmail.com', 'name': {'given': 'Katsuya', 'honourific': None, 'family': 'Tanaka', 'lineage': None}}, {'id': 'kada0113@gmail.com', 'name': {'family': 'Kada', 'honourific': None, 'lineage': None, 'given': 'Ryohei'}}]",2809-6029,disk0_bak/00/05/10/02,2022,article,['FP1'],unpub,5.0,Indonesian Forestry Certification Cooperation (IFCC) in collaboration with Millennium Resource Alternatives (MRA) LLC and Sustainable Development Indonesia (SDI),"[{'main': 'IMPACTS OF COFFEE AGROFORESTRY AND SUSTAINABILITY CERTIFICATION ON FARMERS’ LIVELIHOOD turnitin.pdf', 'docid': 190714, 'files': [{'objectid': 190714, 'uri': 'http://repository.lppm.unila.ac.id/id/file/548636', 'fileid': 548636, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-05-03 04:55:35', 'filename': 'IMPACTS OF COFFEE AGROFORESTRY AND SUSTAINABILITY CERTIFICATION ON FARMERS’ LIVELIHOOD turnitin.pdf', 'hash': '51a28b9c056e003dd7cb8227c9ee4c82', 'datasetid': 'document', 'filesize': 783722}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190714', 'eprintid': 51002, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/51002,TRUE,2023-05-03 06:58:07,948,2023-05-03 06:58:07,77-95,51002,published,https://journalssr.com/index.php/ssr/article/view/19,IMPACTS OF COFFEE AGROFORESTRY AND SUSTAINABILITY CERTIFICATION ON FARMERS’ LIVELIHOOD IN SUMATRA-INDONESIA,2.0,6,show,archive,2023-05-03 06:58:07,"[{'url': 'https://journalssr.com/index.php/ssr/article/view/19', 'type': 'pub'}]",['S1'],"This study examines the impacts of coffee agroforestry system and sustainability certification on farmers’ livelihood in Sumatra-Indonesia. The study applies farm-income analysis and quasiexperimental impact evaluations by interviewing 408 coffee farm-households in Lampung Province.  Propensity score matching (PSM) adopted here compares some matching characteristics of adopters of coffee agroforestry system and sustainability certification and the control groups.  The results show that both coffee agroforestry systems and sustainability certification have positive significant impacts in improving economic benefits and environmental benefits, although the magnitudes slightly differ.  Future policy shall provide better alternatives for farmers’ land-use systems that could ensure a better livelihood.",,,,,https://journalssr.com/index.php/ssr/article/view/19,,,,,,,,,,,
55,JoFSA,"[{'name': {'honourific': None, 'family': 'Julica', 'lineage': None, 'given': 'Samara'}, 'id': None}, {'name': {'given': 'Dwi', 'lineage': None, 'honourific': None, 'family': 'Haryono'}, 'id': 'dwih_unila@yahoo.com'}, {'name': {'lineage': None, 'family': 'Murniati', 'honourific': None, 'given': 'Ktut'}, 'id': 'ktut.murniati@fp.unila.ac.id'}]",2597-9426,disk0_bak/00/05/03/54,2022-10-31,article,['FP1'],pub,2.0,Politeknik mNegeri lampung,"[{'placement': 1, 'security': 'public', 'eprintid': 50354, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/543637', 'objectid': 190051, 'hash': '92ccc9d57b83ba827bce2117711be5dd', 'filename': 'Julica Samara Jofsa_merged.pdf', 'mtime': '2023-04-12 02:55:39', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 543637, 'filesize': 848108, 'datasetid': 'document'}], 'main': 'Julica Samara Jofsa_merged.pdf', 'docid': 190051, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190051', 'pos': 1, 'format': 'text'}]",public,http://repository.lppm.unila.ac.id/id/eprint/50354,TRUE,2023-04-12 07:40:50,928,2023-04-12 07:40:50,132-144,50354,published,,"Struktur Pendapatan Dan Tingkat Kesejahteraan Petani Padi
Organik Di Kabupaten Lampung Tengah",6.0,6,show,archive,2023-04-12 07:40:50,,['S1'],"This research aimed to analyze the income of organic rice farmers, household income of
organic rice farmers, and the level of prosperity of organic rice farmers in Central Lampung
Regency. The research method used in this study was the survey method. This research was
conducted in Central Lampung Regency. The research location was chosen purposively with
the consideration that in Central Lampung Regency there were still farmers who planted
organic rice in three districts, namely Trimurjo District, Punggur District, and Seputih Raman
District. Respondents were all farmers who planted organic rice in three districts with 31
farmers taken by census techniques. The data collection was carried out in January - March 2020. Data analysis used in this research was a qualitative and quantitative descriptive method. The result showed that the level of income of organic rice farmers in Central Lampung Regency was Rp41.166.291,54 per year. The level of household income of organic rice farmers in Central Lampung Regency was Rp89.906.452,83 per year. Based on the criteria of theCentral Statistics Agency (BPS) in 2014, prosperity level of all organic rice farmers in Central Lampung Regency fell into prosperous category.",,,,,,,,,,,,,,,,
56,Jurnal Ilmu-Ilmu Agribisnis,"[{'name': {'family': 'Kartika', 'honourific': None, 'lineage': None, 'given': 'Euis'}, 'id': None}, {'id': 'fembriarti.erry@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Prasmatiwi', 'honourific': None, 'given': 'Fembriarti Erry'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Kasymir', 'given': 'Eka'}, 'id': 'eka.kasymir@fp.unila.ac.id'}]",2337 7070,disk0/00/04/17/11,2022-02,article,['FP1'],pub,1.0,Juruan Agribisnis Fakultas Pertanian Universitas Lampung,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/163372', 'rev_number': 2, 'docid': 163372, 'main': 'Euis-ikan asin.pdf', 'files': [{'fileid': 461092, 'mime_type': 'application/pdf', 'mtime': '2022-05-22 00:37:28', 'hash_type': 'MD5', 'filename': 'Euis-ikan asin.pdf', 'hash': 'c84c6e6690ccd396d86a4916a71e3244', 'datasetid': 'document', 'filesize': 466610, 'objectid': 163372, 'uri': 'http://repository.lppm.unila.ac.id/id/file/461092'}], 'language': 'id', 'mime_type': 'application/pdf', 'eprintid': 41711, 'placement': 1, 'security': 'public'}]",public,http://repository.lppm.unila.ac.id/id/eprint/41711,TRUE,2022-05-23 01:30:44,728,2022-05-23 01:30:44,69-77,41711,published,https://jurnal.fp.unila.ac.id/index.php/JIA/article/view/5670,"ANALISIS PENGADAAN BAHAN BAKU DAN PENDAPATAN AGROINDUSTRI IKAN ASIN TERI DI KECAMATAN KALIANDA, KABUPATEN LAMPUNG SELATAN",10.0,7,show,archive,2022-05-23 01:30:44,,['AC'],"he purposes of this research are to analyze the processing and determine the process of raw materials procurement that corresponds to six right (on time, right place, right quality, right quantity, the right type, and the right price), and to analyze income of anchovy fish agroindustry in Kalianda District, South Lampung Regency. This location is selected purposively for it is the center of salted anchovy producers in Kalianda. This study is included census survey method in the villages of Maja and Merak Belantung. The data were collected in December 2019 - January 2020 and analyzed by using descriptive analysis of quantitative and qualitative. The results of this study indicated that the six components of raw material procurement was right during the east wind and normal monsoon, but was not on time and not in the right quantity during the west wind season. On the west monsoon revenue over cash and total cost is IDR3,637,031 and IDR122,114 with R/C values of 1.20 and 0.99. The income on cash and on total costs respectively during the east wind season is IDR241,702,427 and IDR209,674,762 with R/C of 1.29 and 1.25, the normal wind season of IDR56,225,240 and IDR50,536,536 with R/C of 1.20 and 1.18.

Key  words: agroindustry,income, moonson, salted anchovy",,,,,,['Universitas Lampung'],,,,,,,,,,
57,,"[{'id': None, 'name': {'given': 'Putri Mei', 'lineage': None, 'family': 'Kartini', 'honourific': None}}, {'name': {'honourific': None, 'family': 'Wulandari', 'lineage': None, 'given': 'Christine'}, 'id': 'christine.wulandari@fp.unila.ac.id'}, {'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'given': 'Zainal', 'family': 'Abidin', 'honourific': None, 'lineage': None}}, {'name': {'family': 'Harianto', 'honourific': None, 'lineage': None, 'given': 'Sugeng Prayitno'}, 'id': 'sugeng.prayitno@fp.unila.ac.id'}, {'id': 'hari.kaskoyo@fp.unila.ac.id', 'name': {'family': 'Kaskoyo', 'honourific': None, 'lineage': None, 'given': 'Hari'}}, {'name': {'family': 'Murniati', 'honourific': None, 'lineage': None, 'given': 'Ktut'}, 'id': 'ktut.murniati@fp.unila.ac.id'}]",,disk0/00/04/71/79,2022-08,conference_item,['FP1'],pub,,,"[{'main': 'Prosiding Seminar internasional _compressed.pdf', 'docid': 186155, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/518131', 'objectid': 186155, 'hash_type': 'MD5', 'mtime': '2022-12-11 08:26:29', 'filename': 'Prosiding Seminar internasional _compressed.pdf', 'hash': '4f6e3ff8fdafba563a54a92b4587e8b1', 'fileid': 518131, 'mime_type': 'application/pdf', 'filesize': 786096, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/186155', 'rev_number': 1, 'eprintid': 47179, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/47179,TRUE,2022-12-12 01:55:07,933,2022-12-12 01:55:07,79-85,47179,published,https://en.euroasiacongress.org/_files/ugd/614b1f_6e4720468d914c77ad703007291816ad.pdf,"COMMUNITY PERCEPTIONS ON THE DEVELOPMENT OF NATURAL TOURISM OF MENGKUDU ISLAND, LAMPUNG PROVINCE",,8,show,archive,2022-12-12 01:55:07,,['SD'],"Lampung Province precisely in South Lampung Regency, has extraordinary potential and natural wealth, one of which is Mengkudu Island. Mengkudu Island is a small island with unique raised sand that can be passed by tourists while enjoying the color of the blue sea which is very attractive to young people to visit. This interest makes managers have to continue to improve tourist attractions so that they can compete with other tourist objects by involving community participation in supporting economic improvement as a source of income. It is necessary to conduct research with the aim of knowing the public's perception of the development of natural tourism on Mengkudu Island. The research will be carried out in March 2022, which is located in Totoharjo Village, Bakauheni District, South Lampung Regency. The equipment used in the form of laptops, cameras, questionnaires, and stationery. The material used is the people of Totoharjo Village, the number of which is determined using the Slovin Formula, namely 94 respondents. Sampling using simple random sampling that is in a population each person has the same opportunity to be selected as a sample. Furthermore, it was analyzed using a Likert Scale to measure attitudes, views and perceptions of the development of Mengkudu Island. Based on the results of the study, the highest value was obtained, namely the variable increase in land and building prices which had a score of 3.86 in the ""good"" category. The community will get additional income when selling or renting land and buildings around Mengkudu Island. The lowest value is on the variable of the cleanliness condition of Mengkudu Island with a score of 3 which is included in the ""good enough"" category, tourists think that Mengkudu Island does not maintain cleanliness but in fact the manager always cleans the garbage in the morning and afternoon but the garbage continues to arrive.",,,,,,,,,,paper,conference,7-9 AUGUST 2022,EURO ASIA 10th. INTERNATIONAL CONGRESS ON APPLIED SCIENCES,"ANARA, TURKEY",,
58,Jurnal Ilmu-Ilmu Agribisnis,"[{'name': {'family': 'Keny', 'honourific': None, 'lineage': None, 'given': 'Woeniar Michelle'}, 'id': None}, {'id': 'fembriarti.erry@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Prasmatiwi', 'lineage': None, 'given': 'Fembriarti Erry'}}, {'name': {'given': 'Dwi', 'lineage': None, 'honourific': None, 'family': 'Haryono'}, 'id': 'dwih_unila@yahoo.com'}]",2337 7070,disk0/00/04/17/13,2022-02,article,['FP1'],pub,1.0,Juruan Agribisnis Fakultas Pertanian Universitas Lampung,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/163374', 'rev_number': 2, 'pos': 1, 'format': 'text', 'files': [{'mime_type': 'application/pdf', 'fileid': 461105, 'hash': 'fbc3f45571d5aab0e6031c513f0d0d1d', 'filename': 'Woeniar-jagung.pdf', 'mtime': '2022-05-22 00:46:33', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 936278, 'objectid': 163374, 'uri': 'http://repository.lppm.unila.ac.id/id/file/461105'}], 'main': 'Woeniar-jagung.pdf', 'docid': 163374, 'language': 'id', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 41713}]",public,http://repository.lppm.unila.ac.id/id/eprint/41713,TRUE,2022-05-23 01:30:51,728,2022-05-23 01:30:51,44-52,41713,published,https://jurnal.fp.unila.ac.id/index.php/JIA/article/view/5648,ANALISIS PENDAPATAN DAN RISIKO USAHATANI JAGUNG DI KECAMATAN METRO KIBANG KABUPATEN LAMPUNG TIMUR,10.0,7,show,archive,2022-05-23 01:30:51,,['AC'],"This study aims to examine the comparison of income, risk, risk mapping, and risk management strategies by farmersof corn farming in dry land and rainfed land.  The survey was conducted in Metro Kibang District, East Lampung Regency in January 2021.  The respondents were randomly selected as many as 70 farmers consisting of 40 dry land farmers in Margototo Village and 30 rainfed land farmers in Kibang Village.  The data were analyzed using the income difference test, the coefficient of variation difference test, risk mapping, and descriptive analysis of farmers’ strategies.  The results showed that the income of corn farming grown in dry land and in rainfed land was different, but both were profitable.  The risk of production and income of corn farming in dry land is greater than in rainfed land.  The risk mapping in dry land and rainfed land shows that the highest risk source come from pests.  In general, dry land farmers and rainfed land farmers have similar strategies, i.e: doing replanting and spraying pesticides for controlling pests.

 Key words: corn farming, income, risk, risk mapping",,,,,,,,,,,,,,,,
59,Jurnal Ekonomi Pertanian dan Agribisnis (JEPA),"[{'id': None, 'name': {'given': 'Syahyani', 'family': 'Khrisna Indrawan', 'honourific': None, 'lineage': None}}, {'id': 'Wan_abbas@yahoo.com', 'name': {'family': 'Zakaria', 'honourific': None, 'lineage': None, 'given': 'Wan Abbas'}}, {'id': 'ktut.murniati@fp.unila.ac.id', 'name': {'family': 'Murniati', 'honourific': None, 'lineage': None, 'given': 'Ktut'}}]","2614-4670 (p), 2598-8174 (e)",disk0_bak/00/05/23/74,2022-11-01,article,['FP1'],pub,4.0,Universitas Brawijaya,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/253667', 'pos': 1, 'format': 'text', 'files': [{'filesize': 2700691, 'datasetid': 'document', 'hash': '83d016a8693ba5a453b58a55dc1b9257', 'filename': 'krisna, waz, km_merged.pdf', 'hash_type': 'MD5', 'mtime': '2023-08-15 07:29:51', 'mime_type': 'application/pdf', 'fileid': 620752, 'uri': 'http://repository.lppm.unila.ac.id/id/file/620752', 'objectid': 253667}], 'main': 'krisna, waz, km_merged.pdf', 'docid': 253667, 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 52374}]",public,http://repository.lppm.unila.ac.id/id/eprint/52374,TRUE,2023-08-16 10:12:23,928,2023-08-16 10:12:23,1427-1438,52374,,,"ANALISIS KESEJAHTERAAN RUMAH TANGGA PETANI UBI KAYU DI
KABUPATEN TULANG BAWANG BARAT",6.0,6,show,archive,2023-08-16 10:12:23,,['S1'],"This study aims to examine household welfare and factors affecting household welfare of
cassava farmers in Tulang Bawang Barat District. Samples were taken by simple random
method. The research location is in Tulang Bawang Tengah sub-distric and Tulang Bawang
Udik sub-district. The research location was chosen purposively. The respondents were 70
farmers. The time of data collection is in January - March 2021. Measurement of household
welfare and factors affecting household welfare was done by using Sajogyo welfare criteria and
binary logit model. Based on Sajogyo's welfare, most of the cassava farmer households in
Tulang Bawang Barat Regency are already prosperous. Farmer households that are
categorized as having sufficient and decent living (prosperous) are 95.71 percent and those
categorized as near-poor (not yet prosperous) are 4.29 percent. The factors that influence the
household welfare of cassava farmers in Tulang Bawang Barat District are the education level
of the head of the family and non-food expenditure.",,,,,,,,,,,,,,,,
60,Jurnal Ilmu-Ilmu Agribisnis,"[{'id': None, 'name': {'given': 'Arief', 'family': 'Laksono', 'honourific': None, 'lineage': None}}, {'name': {'family': 'Prasmatiwi', 'honourific': None, 'lineage': None, 'given': 'Fembriarti Erry'}, 'id': 'fembriarti.erry@fp.unila.ac.id'}, {'id': 'agb_yulianasaleh@yahoo.com', 'name': {'given': 'Yuliana', 'lineage': None, 'family': 'Saleh', 'honourific': None}}]",2337 7070,disk0/00/04/17/07,2022-02,article,['FP1'],pub,1.0,Juruan Agribisnis Fakultas Pertanian Universitas Lampung,"[{'format': 'text', 'pos': 1, 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163368', 'docid': 163368, 'main': 'Arif-kopi luwak.pdf', 'files': [{'objectid': 163368, 'uri': 'http://repository.lppm.unila.ac.id/id/file/461066', 'datasetid': 'document', 'filesize': 700197, 'mime_type': 'application/pdf', 'fileid': 461066, 'filename': 'Arif-kopi luwak.pdf', 'hash': 'a88cb9a238eab2a6825a26b1489be57f', 'hash_type': 'MD5', 'mtime': '2022-05-21 23:58:41'}], 'language': 'id', 'mime_type': 'application/pdf', 'eprintid': 41707, 'security': 'public', 'placement': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/41707,TRUE,2022-05-23 01:30:37,728,2022-05-23 01:30:37,17-25,41707,published,https://jurnal.fp.unila.ac.id/index.php/JIA/article/view/5645,ANALISIS KERAGAAN AGROINDUSTRI KOPI LUWAK : STUDI KASUS PADA AGROINDUSTRI RATU LUWAK DI KECAMATAN BALIK BUKIT KABUPATEN LAMPUNG BARAT,10.0,7,show,archive,2022-05-23 01:30:37,,['AC'],"This study aimed to analyze management of raw material procurement; cost of production, added value and profit; distribution channels in the luwak coffee aroindustry. The method used was a case study on the Ratu Luwak Agroindustry in Balik Bukit District, West Lampung Regency. The research was conducted from April 2020 to June 2020. The data analysis methods used were quantitative and qualitative descriptive analysis. The results of this study indicated that the management of raw material procurement was not yet economical; the cost of production, added value and profit of the agroindustry had positive values which means that the agro-industry was profitable; distribution channels shown that the marketing was efficient.

 Key words: agroindustry, luwak coffee, performance, regular coffee.",,,,,,['Universitas Lampung'],,,,,,,,,,
61,Journal of Food System and Agribusiness,"[{'id': None, 'name': {'honourific': None, 'family': 'Larasati', 'lineage': None, 'given': 'Putri'}}, {'name': {'lineage': None, 'family': 'Murniati', 'honourific': None, 'given': 'Ktut'}, 'id': 'ktut.murniati@fp.unila.ac.id'}, {'id': 'mayaunila@yahoo.com', 'name': {'lineage': None, 'honourific': None, 'family': 'riantini', 'given': 'maya'}}]",26545853,disk0/00/04/31/94,2022-04-30,article,['FP1'],pub,1.0,"Departmen of Agribusiness, Lampung State of Polytechnic","[{'files': [{'objectid': 165058, 'uri': 'http://repository.lppm.unila.ac.id/id/file/472272', 'datasetid': 'document', 'filesize': 319134, 'fileid': 472272, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-07-11 06:57:56', 'hash': '305294ed43c67674c92bbbf004af7cbc', 'filename': 'jofsa Putri Larasati.pdf'}], 'docid': 165058, 'main': 'jofsa Putri Larasati.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/165058', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 43194, 'language': 'en', 'mime_type': 'application/pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/43194,TRUE,2022-07-11 08:24:59,928,2022-07-11 08:24:59,36-46,43194,published,,"Kepuasan Konsumen Terhadap Pelayanan Elektronik (E-Services)
Pemasaran Online Makanan Ayam Cepat Saji Melalui Market Place(Studi Kasus Pada Ayips Bandar Lampung)",6.0,6,show,archive,2022-07-11 08:24:59,,['S1'],"The use of electronic as marketing medium has already become a trend for commercial
business to promote and market their goods more quickly and widely, a strategy that Ayips
does. In the early days of business, Ayips has done online marketing by using electronic
media like Instagram, Whatsapp, Gofood, and Grabfood with a goal of introducing the
business to consumers more broadly and rapidly by performing electronic services or eservices

that fit the consumer’s expectation and satisfaction. The research aimed to analyze
e-services performance and consumer satisfaction on e-services on the online marketing of
Ayips through marketplace. The sample used in this study amounted to 75 consumers who
bought Ayips once through online service. The data were analysed by using importance
performance analysis. This study indicated that Ayips' willingness to answer questions and
assist customers when they were in trouble for online bookings needs to be increased, so it is
recommended that the whatsapp could be used as a personal consumer service to improve
the response of complaints and consumer questions.",,,,,,,,,,,,,,,,
