,status_changed,eprint_status,subjects,title,rev_number,place_of_pub,metadata_visibility,eprintid,isbn,date_type,lastmod,userid,datestamp,ispublished,publisher,documents,uri,full_text_status,refereed,editors,type,book_title,divisions,creators,date,dir,pages,volume,abstract,publication,issn,number,pagerange,corp_creators,projects,official_url,related_url,monograph_type,contact_email,contributors,keywords,note,referencetext,institution,department,series,event_title,event_location,event_dates,event_type,pres_type,funders,id_number
22,2017-07-31 08:13:51,archive,['K1'],"DILEMMA OF STATE SOVEREIGNTY PROTECTING THE HOMELAND
(STUDIES OF AGRARIAN CONSTITUTION)",10,,show,3624,,published,2017-07-31 08:13:51,940,2017-07-31 08:13:51,pub,,"[{'files': [{'filename': 'IMCoSS_UBL_2015_Proceeding.pdf', 'hash': 'b522bbb18ea509720e79d82933d484aa', 'mtime': '2017-07-03 04:35:24', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 25337, 'filesize': 939045, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/25337', 'objectid': 3482}], 'docid': 3482, 'main': 'IMCoSS_UBL_2015_Proceeding.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3482', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 3624, 'mime_type': 'application/pdf', 'language': 'en'}]",http://repository.lppm.unila.ac.id/id/eprint/3624,public,TRUE,,conference_item,,['FH3'],"[{'name': {'given': 'FX', 'lineage': None, 'family': 'Sumarja', 'honourific': None}}]",2015-07-01 00:00:00.000000000,disk0/00/00/36/24,,,"ABSTRACT: State of law has the sovereign authority to determine and regulate their own affairs for free. State
of law teaches that all government action must be based on legislation drafted by the competent institution.
Practice anomaly state in Indonesia, on the one hand have a sovereign law-making but on the other hand
welcomed the intervention of other parties. The Conditions of legislators who still easily bought and intervention
is one of the reasons. Impact the state is ineffective to protect the native land of Indonesia from foreign
exploitation. Whereas the agrarian constitution of Indonesia sincerely as developing states have been prepared
in line with the International Covenant on Economic, Social and Cultural Rights to set access restrictions by
foreign agrarian resources. Legislation that opens wide agrarian access to foreign resources is a infringement
of Human Rights, which should be corrected (judicial), hence it does not make pretending law states. Ostensibly
to protect the homeland of Indonesia, although sold to foreigners. Institutions authorized to make corrections to
the laws that are discrepant with the constitution of agrarian is the Constitutional Court. This research subject
points is to analyze legislation in the field of agrarian resources that have been corrected and the legal
considerations. The study was conducted using the document approach. Such legal materials through library
and internet access. Legal materials were examined using a prescriptive-analytical method. Until the beginning
of 2015 there were nine legislation related to the field of agrarian resources that have been successfully
corrected, and otherwise contrary to the constitution. So the Court's performance should be held up and requires
awareness together in finding the national identity, became sovereign over agrarian resources and no
intervention from other parties.
Keywords: sovereignty, homeland, agrarian constitution, exploitation.",,,,III-27,,,http://artikel.ubl.ac.id/index.php/IMCoSS/article/download/407/644,"[{'type': 'org', 'url': 'http://repository.lppm.unila.ac.id'}]",,,,,,,,,,The Third International Multidisciplinary Conference on Social Sciences,Bandar Lampung,"5, 6 June 2015",conference,paper,,
23,2017-07-31 08:18:29,archive,['K1'],Hukum Pendaftaran Tanah,11,Bandar Lampung,show,3620,978-602-8616-03-4,published,2017-07-31 08:18:29,940,2017-07-31 08:18:29,pub,Universitas Lampung,"[{'docid': 3478, 'main': 'Buku_HPT_revisi_2015_1.pdf', 'files': [{'fileid': 25310, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2017-07-03 03:07:04', 'filename': 'Buku_HPT_revisi_2015_1.pdf', 'hash': '771091d2863ea6d1d8d350bf165a0948', 'datasetid': 'document', 'filesize': 3130144, 'objectid': 3478, 'uri': 'http://repository.lppm.unila.ac.id/id/file/25310'}], 'pos': 1, 'format': 'text', 'rev_number': 4, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3478', 'eprintid': 3620, 'placement': 1, 'security': 'public', 'language': 'id', 'mime_type': 'application/pdf', 'content': 'published'}]",http://repository.lppm.unila.ac.id/id/eprint/3620,public,TRUE,"[{'name': {'honourific': None, 'family': 'Wiranata', 'lineage': None, 'given': 'Gede AB'}}]",book,,['FH3'],"[{'name': {'honourific': None, 'family': 'Sumarja', 'lineage': None, 'given': 'FX'}, 'id': 'fxsmj.unila@gmail.com'}]",2015-10-01 00:00:00.000000000,disk0/00/00/36/20,111.0,satu,,,,satu,,['Universitas Lampung'],,,"[{'url': 'http://repository.lppm.unila.ac.id', 'type': 'org'}]",,,,,,,,,revisi,,,,,,['Fakultas Hukum Unila'],
24,2018-02-20 04:34:53,archive,['KZ'],Larangan Pengasingan Tanah dan Peluang Investasi Asing di Indonesia,8,Proceeding,show,6494,,published,2018-02-20 04:34:53,940,2018-02-20 04:34:53,pub,Universitas Muhammadiyah Yogyakart,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/19439', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/60142', 'objectid': 19439, 'filesize': 14545149, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2018-02-19 04:10:24', 'filename': 'SEMINAR NASIONAL_UMY2015_1.pdf', 'hash': '64e326c0c9bf6dc945d054b351479abf', 'fileid': 60142, 'mime_type': 'application/pdf'}], 'docid': 19439, 'main': 'SEMINAR NASIONAL_UMY2015_1.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 6494}]",http://repository.lppm.unila.ac.id/id/eprint/6494,public,,,monograph,,['FH3'],"[{'name': {'given': 'FX', 'lineage': None, 'honourific': None, 'family': 'Sumarja'}, 'id': 'fxsmj.unila@gmail.com'}]",2015-04-01 00:00:00.000000000,disk0/00/00/64/94,202.0,,"Sepanjang sejarah politik hukum agraria di Indonesia mengenal larangan pengasingan tanah. Orang asing atau badan hukum asing (investor asing) dilarang mempunyai tanah hak milik. UUPA mengatur bahwa orang asing yang berkedudukan di Indonesia dan badan hukum asing yang memiliki perwakilan di Indonesia hanya diperbolehkan mempunyai tanah hak pakai dan hak sewa untuk bangunan. 
Praktiknya, orang asing dan badan hukum asing lebih memilih mendapatkan tanah hak milik dengan nominee. Padahal nominee itu ilegal dan mempunyai kedudukan hukum yang sangat lemah. Pasal 16 ayat (1) huruf h  jo. Pasal 24 UUPA membuka peluang bagi investor asing dalam penguasaan tanah melalui hak Bangun Guna Serah, dengan memposisikan tanah sebagai sarana produksi bukan sebagai investasi. Bangun Guna Serah di Indonesia ditandai dengan lahirnya Keputusan Menteri Keuangan Republik Indonesia No. 470/KMK.01/ 1994 tentang Tata Cara Penghapusan dan Pemanfaatan Barang Milik/Kekayaan Negara, yang mengadopsi “Turgut’s Formula”, yaitu pembangunan dan pengelolaan bendungan di sungai Syehan Turki. 
Penelitian ini bertujuan menemukan alternatif penguasaan tanah bagi investor asing yang memerlukan tanah sebagai sarananya, mengingat keterbatasan hak penguasaan tanah di Indonesia dengan mempertimbangkan kemanfaatan keadilan dan kepastian hukum.
Diperlukan paradigma baru dalam menarik investasi asing di Indonesia, agar mendapatkan kemanfaatan, keadilan dan kepastian hukum, melalui hak bangun guna serah. Pasal 16 ayat (1) huruf h UUPA mengatur bahwa hak-hak lain yang tidak termasuk  Hak Milik, Hak Guna Usaha, Hak Guna Bangunan, Haka Pakai, dan Hak Sewa akan ditetapkan dengan undang-undang. Hak bangun guna serah adalah hak mendirikan bangunan dan/atau sarana berikut fasilitasnya di atas tanah yang bukan miliknya sendiri kemudian mendayagunakan bangunan dan/atau sarana berikut fasilitasnya tersebut dalam jangka waktu tertentu yang telah disepakati, untuk selanjutnya tanah beserta bangunan dan/atau sarana berikut fasilitasnya diserahkan kepada pemegang hak atas tanah setelah berakhirnya jangka waktu. Hak Bangun Guna Serah dapat dimasukan ke dalam RUU Pertanahan.
  
Kata kunci: hak bangun guna serah, tanah negara, investasi asing.",,,,,['Fakultas Hukum Unila'],['Seminar Nasional: Peluang dan Tantangan Menghadapi Masyarakat Ekonomi Asean (MEA): Perspektif Hukum dan Perlindungan Sumber Daya Laut'],http://repository.lppm.unila.ac.id/cgi/users/home?screen=EPrint::Edit&eprintid=6494&stage=core#t,[{'url': 'http://repository.lppm.unila.ac.id/cgi/users/home?screen=EPrint::Edit&eprintid=6494&stage=core#t'}],working_paper,,,,,,Universitas Muhammadiyah Yogyakarta,Fakultas Hukum,,,,,,,['UMY'],Pertama
25,2018-02-20 04:33:47,archive,['KZ'],Orang Asing Sebagai Subjek Hak Atas Tanah di Indonesia,6,,show,6484,,published,2018-02-20 04:33:47,940,2018-02-20 04:33:47,pub,Fakultas Hukum Universitas Diponegoro,"[{'placement': 1, 'security': 'public', 'eprintid': 6484, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'mtime': '2018-02-15 05:16:28', 'hash_type': 'MD5', 'hash': 'ba8148fd0ab262c5e191d7cae02c55a5', 'filename': 'jurnal _maslah2_hk_undip_orang asing_2015.pdf', 'fileid': 60054, 'mime_type': 'application/pdf', 'filesize': 6278977, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/60054', 'objectid': 19427}], 'docid': 19427, 'main': 'jurnal _maslah2_hk_undip_orang asing_2015.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19427', 'pos': 1, 'format': 'text'}]",http://repository.lppm.unila.ac.id/id/eprint/6484,public,TRUE,,article,,['FH3'],"[{'name': {'lineage': None, 'family': 'Sumarja', 'honourific': None, 'given': 'FX'}, 'id': 'fxsmj.unila@gmail.com'}]",2015-07-01 00:00:00.000000000,disk0/00/00/64/84,,44,"Kajian ini bertujuan menemukan orang asing yang dapat menjadi subjek Hak Pakai dan Hak Sewa untuk bangunan. Hasil kajian menunjukkan: 1) Periode UUPA- PP 41 Tahun 1996, dan periode 2010- sekarang, orang asing yang dapat menjadi subjek hak atas tanah adalah orang asing sebagai penduduk Indonesia; 2) Periode, PP 4l Tahun 1996 - tahun 2010, orang asing yang dapat
menjadi subjek hak atas tanah diperluas menjadi orang asing baik sebagai penduduk Indonesia maupun sekedar memiliki izin tinggal di Indonesia.
Ksta Kunci : Orang Asing, Hak Atas Tanah, Subiek Hak.",Jurnal Masalah-masalah hukum,2086-2695,3,305-315,['Universitas Lampung'],,http://ejournal.undip.ac.id/index.php/mmh/article/view/12915/9709,[{'url': 'http://ejournal.undip.ac.id/index.php/mmh/article/view/12915/9709'}],,,,,,,,,,,,,,,,
26,2018-03-13 07:40:08,archive,['KZ'],PERTANIAN ORGANIK DALAM UUPA DAN PERSPEKTIF LINGKUNGAN BERKELANJUTAN,9,Bandarlampung,show,6598,,published,2018-03-13 07:40:08,940,2018-03-13 07:40:08,pub,Indepth Publishing,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 6598, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19552', 'rev_number': 1, 'main': 'DINAMIKA-HUKUM-LINGKUNGAN.1.pdf', 'docid': 19552, 'files': [{'mime_type': 'application/pdf', 'fileid': 60886, 'hash': '7b3182e5eeeab12301ecd4bfd1d80387', 'filename': 'DINAMIKA-HUKUM-LINGKUNGAN.1.pdf', 'hash_type': 'MD5', 'mtime': '2018-03-13 02:44:30', 'datasetid': 'document', 'filesize': 1734102, 'objectid': 19552, 'uri': 'http://repository.lppm.unila.ac.id/id/file/60886'}]}]",http://repository.lppm.unila.ac.id/id/eprint/6598,public,,,monograph,,['FH3'],"[{'name': {'family': 'Sumarja', 'honourific': None, 'lineage': None, 'given': 'FX'}, 'id': 'fxsmj.unila@gmail.com'}]",2015-02-01 00:00:00.000000000,disk0/00/00/65/98,87.0,,"Menjaga sifat fisik, kimia dan biologi tanah yang baik merupakan hal penting dalam pertanian organik. Pertanian
organik mengutamakan cara pengolahan
tanah meminimalkan erosi, meningkatkan kandungan bahan organik serta mendorong kuantitas dan diversitas biologi
tanah. Pertanian organik adalah sistem produksi pertanian
yang mengandalkan bahan-bahan alami dan menghindari atau
membatasi pengggunaan bahan kimia sintetis (pupuk kimia/ pabrik, pestisida, herbisida, zat pengatur tumbuh dan aditif
pakan. Pertanian organik pada dasarnya merupakan upaya menjaga dan menambah kesuburan tanah tanpa menggunakan
pupuk kimia sintetis.",,,,,['Fakultas Hukum Unila'],"['Pengukuhan Guru Besar Dr. Muhammad Akib, S.H., M.Hum']",http://repository.lppm.unila.ac.id,[{'url': 'http://repository.lppm.unila.ac.id/cgi/users/home?screen=EPrint::Edit&eprintid=6598&stage=core#t'}],project_report,,,,,,Univeristas Lampung,Fakultas,,,,,,,['Fakultas Hukum & PKK-PHAM'],940
27,2017-06-02 11:57:24,archive,['K1'],"Ilegal, Unreported, Unregulated Fishing Menurut Hukum
Internasional Dan Implementasinya Di Indonesia",9,Bandar Lampung,show,2747,978-602-1071-29-8,published,2017-06-02 11:57:24,230,2017-06-02 11:57:24,pub,Justice Publisher,"[{'docid': 2611, 'main': 'hukum kelautan.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/18826', 'objectid': 2611, 'filesize': 7805594, 'datasetid': 'document', 'filename': 'hukum kelautan.pdf', 'hash': '06d13111d00dd4545a97ca2b0d6a5a0c', 'hash_type': 'MD5', 'mtime': '2017-06-01 06:18:04', 'mime_type': 'application/pdf', 'fileid': 18826}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/2611', 'rev_number': 1, 'eprintid': 2747, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",http://repository.lppm.unila.ac.id/id/eprint/2747,public,TRUE,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Anwar', 'given': 'Khaidir'}}]",book_section,Hukum Laut Internasional Dalam Perkembangan,['FH3'],"[{'id': 'ahmad.syofyan@fh.unila.ac.id', 'name': {'given': 'Ahmad', 'lineage': None, 'family': 'Syofyan', 'honourific': None}}]",2015-01-01 00:00:00.000000000,disk0/00/00/27/47,208.0,3,,,,,,,,,,,,,,,,,,,,,,,,,
28,2018-04-25 04:19:13,archive,['K1'],Implikasi Hukum Kebijakan Pendaftaran Tanah Terhadap Keberlanjutan Pembangunan,7,Bandar Lampung,show,6627,978-602-1534-47-2,,2018-04-25 04:19:13,769,2018-04-25 04:19:13,pub,Indepth Publishing,"[{'eprintid': 6627, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Upik Hamidah (Monograf) Hukum Lingkungan dan Pembangunan Berkel.pdf', 'docid': 19595, 'files': [{'mtime': '2018-03-21 02:52:32', 'hash_type': 'MD5', 'hash': '4edd3f97772c81cc3db7ef9f1594125c', 'filename': 'Upik Hamidah (Monograf) Hukum Lingkungan dan Pembangunan Berkel.pdf', 'fileid': 61133, 'mime_type': 'application/pdf', 'filesize': 1721174, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/61133', 'objectid': 19595}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19595'}]",http://repository.lppm.unila.ac.id/id/eprint/6627,public,FALSE,,book_section,Hukum Lingkungan dan Pembangunan Berkelanjutan,['FH3'],"[{'name': {'honourific': None, 'family': 'Upik Hamidah', 'lineage': None, 'given': 'Upik'}}]",2015-02-01 00:00:00.000000000,disk0/00/00/66/27,,,,,,,19-36,,,,,,,,,,,,,,,,,,,,
29,2018-08-03 07:38:47,archive,['K1'],Dampak Politik Hukum Pertanahan yang Belum Berprespektif HAM Bagi Masyarakat Hukum Adat Mesuji Lampung,6,,show,8665,,,2018-08-03 07:38:47,366,2018-08-03 07:38:47,pub,Fakultas Hukum Universitas Diponegoro,"[{'files': [{'filename': 'Candra (Jurnal = Dampak Politik Hukum Pertanahan).pdf', 'hash': '9630df29f4b6c8b75bcbe68fb43db156', 'mtime': '2018-07-19 03:59:15', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 84574, 'filesize': 6405021, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/84574', 'objectid': 21735}], 'docid': 21735, 'main': 'Candra (Jurnal = Dampak Politik Hukum Pertanahan).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/21735', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 8665, 'language': 'en', 'mime_type': 'application/pdf'}]",http://repository.lppm.unila.ac.id/id/eprint/8665,public,FALSE,,article,,['FH3'],"[{'name': {'given': 'candra', 'honourific': None, 'family': 'candra perbawati', 'lineage': None}}]",2015-10-01 00:00:00.000000000,disk0/00/00/86/65,,44,,Jurnal Masalah-masalah hukum,2086-2695,4,521-531,,,,,,,,,,,,,,,,,,,,
30,2018-05-30 02:40:07,archive,['K1'],Status Bayi Tabung Berdasarkan Hukum Islam,7,Bandar Lampung,show,3519,978-602-1689-71-4,,2018-05-30 02:40:07,196,2018-05-30 02:40:07,pub,Harakindo Publishing Sukarame Bandar Lampung,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 3519, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19887', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'datasetid': 'document', 'filesize': 3753104, 'fileid': 63422, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2018-05-21 02:25:16', 'hash': 'd66b48775ea481388a6452582b838fdd', 'filename': 'Dewi Septiana (Bookchapter = Status Bayi).pdf', 'objectid': 19887, 'uri': 'http://repository.lppm.unila.ac.id/id/file/63422'}], 'docid': 19887, 'main': 'Dewi Septiana (Bookchapter = Status Bayi).pdf'}]",http://repository.lppm.unila.ac.id/id/eprint/3519,public,FALSE,,book_section,Hukum Perdata Dalam Berbagai Perspektif,['FH3'],"[{'name': {'honourific': None, 'family': 'dewi septiana', 'lineage': None, 'given': 'dewi septiana'}}]",2015-02-01 00:00:00.000000000,disk0/00/00/35/19,,,,,,,1-9,,,,,,,,,,,,,,,,,,,,
31,2019-05-14 08:12:43,archive,['K1'],Hubungan Kewenangan Pusat dan Daerah Menurut Undang-Undang Nomor 23 Tahun 2014 tentang Pemerintahan Daerah,6,,show,12672,,published,2019-05-14 08:12:43,324,2019-05-14 08:12:43,pub,PADJADJARAN Jurnal Ilmu Hukum,"[{'security': 'public', 'placement': 1, 'eprintid': 12672, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'filename': 'Hubungan Kewenangan Pusat dan Daerah.pdf', 'hash': 'a8950fa9da8b71ed00f634cc89848c00', 'mtime': '2019-05-10 10:01:54', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 112176, 'filesize': 618382, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/112176', 'objectid': 25656}], 'main': 'Hubungan Kewenangan Pusat dan Daerah.pdf', 'docid': 25656, 'uri': 'http://repository.lppm.unila.ac.id/id/document/25656', 'rev_number': 1, 'format': 'text', 'pos': 1}]",http://repository.lppm.unila.ac.id/id/eprint/12672,public,TRUE,,article,,['FH3'],"[{'name': {'family': 'yusdiyanto', 'honourific': None, 'lineage': None, 'given': 'yusdiyanto'}}]",1970-01-01 00:00:00.000002015,disk0/00/01/26/72,,2,"Hubungan antara kewenangan pusat dan daerah di Indonesia mengalami pasang surut sesuai rezim penyelenggaraan negara. Sejak reformasi, terdapat beberapa perubahan format otonomi daerah. Pasal 18 Undang-Undang Dasar Negara Republik Indonesia 1945 sebagai landasan konstusi dan dasar instrumen pemerintahan daerah dalam pelaksanaannya selalu dak konsisten mengenai dekonsentrasi, desentralisasi, dan medebewind. Melalui penelaahan terhadap Undang-Undang Nomor 23 Tahun 2014 tentang Pemerintahan Daerah diketahui beberapa pokok diantaranya: pertama, perumus dan pelaksana undang-undang berusaha menyeimbangkan kontekstualitas dan eksistensi pemerintah daerah agar lebih prudent atau sebaliknya kembali pada skema shadow sentralisasi. Hal ini didukung oleh Pasal 9 yang menyebutkan urusan pemerintahan dibagi menjadi 3 (ga) yang terdiri atas urusan pemerintahan absolut, konkuren, dan umum. Bentuk negara kesatuan (unitary state) diarkan sebagai penyeragaman daripada perbedaan; kedua, pengutamaan konsep otonomi daerah melalui sistem rumah tangga materiil daripada sistem  formal dan nyata (riil), sehingga melalui dekonsentrasi suatu sistem pemerintah memiliki kewenangan luas dalam melaksanakan isu strategis di daerah; kega, pemerintah pusat dan provinsi diberikan kewenangan besar untuk mengawasi kota atau kabupaten. Provinsi yang sebelumnya memiliki daya tawar lemah dan terbatas, diperkuat dengan penambahan fungsi dan kewenangan kepada gubernur; keempat, eﬁsiensi dan efekﬁtas lebih diutamakan dengan menggerus otonomi daerah yang luas, nyata dan bertanggung jawab. Prinsip-prinsip demokrasi, peran-serta masyarakat, pemerataan dan keadilan, serta memperhakan potensi dan keanekaragaman daerah terabaikan. 
Kata Kunci: pemerintahan daerah, desentralisasi, otonomi, hubungan pusat-daerah, kewenangan pusat-daerah.",Jurnal Ilmu Hukum,ISSN 2460-1543,3,483-504,,,,,,,,,,,,,,,,,,,,
